:START_ID(Charge),:END_ID(ProcedureCode),:TYPE
GRH:10000069,71045,USES_PROCEDURE
GRH:10000070,74178,USES_PROCEDURE
GRH:10000071,74177,USES_PROCEDURE
GRH:10000072,70553,USES_PROCEDURE
RADX:10000073,74176,USES_PROCEDURE
RADX:10000074,70553,USES_PROCEDURE
RADX:10000075,74175,USES_PROCEDURE
RADX:10000076,71045,USES_PROCEDURE
RADX:10000077,74177,USES_PROCEDURE
RADX:10000078,72148,USES_PROCEDURE
RADX:10000079,74177,USES_PROCEDURE
RADX:10000080,76536,USES_PROCEDURE
RADX:10000081,73721,USES_PROCEDURE
RADX:10000082,G9551,USES_PROCEDURE
RASFA:10000083,70544,USES_PROCEDURE
RASFA:10000084,76770,USES_PROCEDURE
RASFA:10000085,73201,USES_PROCEDURE
RADD:10000086,76604,USES_PROCEDURE
RADD:10000087,71048,USES_PROCEDURE
RADD:10000088,73201,USES_PROCEDURE
RADD:10000089,71047,USES_PROCEDURE
RADD:10000090,73706,USES_PROCEDURE
RADD:10000091,77067,USES_PROCEDURE
RADD:10000092,71047,USES_PROCEDURE
RADD:10000093,72158,USES_PROCEDURE
RADD:10000094,70486,USES_PROCEDURE
RADD:10000095,77067,USES_PROCEDURE
RADD:10000096,72141,USES_PROCEDURE
RADD:10000097,70553,USES_PROCEDURE
RADD:10000098,76817,USES_PROCEDURE
RADD:10000099,G9552,USES_PROCEDURE
RADD:10000100,76817,USES_PROCEDURE
RADD:10000101,74176,USES_PROCEDURE
RADD:10000102,71047,USES_PROCEDURE
RADD:10000103,73222,USES_PROCEDURE
RADD:10000104,70450,USES_PROCEDURE
RADD:10000105,G9551,USES_PROCEDURE
RADT:10000106,74178,USES_PROCEDURE
RADT:10000107,G9551,USES_PROCEDURE
RADT:10000108,G9553,USES_PROCEDURE
RADT:10000109,70486,USES_PROCEDURE
RADT:10000110,73222,USES_PROCEDURE
RADT:10000111,74178,USES_PROCEDURE
RADT:10000112,73201,USES_PROCEDURE
RADT:10000113,G9553,USES_PROCEDURE
RADT:10000114,71048,USES_PROCEDURE
RADT:10000115,74183,USES_PROCEDURE
RADT:10000116,71047,USES_PROCEDURE
RADT:10000117,71250,USES_PROCEDURE
RADT:10000118,74176,USES_PROCEDURE
RADT:10000119,70553,USES_PROCEDURE
RADT:10000120,71046,USES_PROCEDURE
RADT:10000121,G9551,USES_PROCEDURE
RADT:10000122,71046,USES_PROCEDURE
RADT:10000123,74177,USES_PROCEDURE
RADT:10000124,72195,USES_PROCEDURE
RADT:10000125,73201,USES_PROCEDURE
RADT:10000126,G9552,USES_PROCEDURE
RADG:10000127,74177,USES_PROCEDURE
RADG:10000128,71047,USES_PROCEDURE
RADG:10000129,76700,USES_PROCEDURE
RADG:10000130,73201,USES_PROCEDURE
RADG:10000131,G9553,USES_PROCEDURE
RADG:10000132,74183,USES_PROCEDURE
RADG:10000133,73721,USES_PROCEDURE
RADG:10000134,76604,USES_PROCEDURE
RADG:10000135,70450,USES_PROCEDURE
RADG:10000136,71047,USES_PROCEDURE
RADG:10000137,71250,USES_PROCEDURE
RADG:10000138,76770,USES_PROCEDURE
RADG:10000139,G9553,USES_PROCEDURE
RADG:10000140,76604,USES_PROCEDURE
RADG:10000141,76536,USES_PROCEDURE
RADS2:10000142,77065,USES_PROCEDURE
TRI:10000143,72158,USES_PROCEDURE
TRI:10000144,76817,USES_PROCEDURE
TRI:10000145,71250,USES_PROCEDURE
TRI:10000146,76805,USES_PROCEDURE
TRI:10000147,76536,USES_PROCEDURE
TRI:10000148,G9552,USES_PROCEDURE
TRI:10000149,74176,USES_PROCEDURE
TRI:10000150,71047,USES_PROCEDURE
RADB:10000151,76817,USES_PROCEDURE
RADB:10000152,G9553,USES_PROCEDURE
RADB:10000153,70553,USES_PROCEDURE
RADB:10000154,G9551,USES_PROCEDURE
RADB:10000155,G9553,USES_PROCEDURE
RADB:10000156,77067,USES_PROCEDURE
RADB:10000157,77067,USES_PROCEDURE
RADB:10000158,73706,USES_PROCEDURE
RADB:10000159,70540,USES_PROCEDURE
RADB:10000160,70540,USES_PROCEDURE
RADB:10000161,74176,USES_PROCEDURE
RADB:10000162,73706,USES_PROCEDURE
RADB:10000163,74177,USES_PROCEDURE
RADB:10000164,71045,USES_PROCEDURE
RADB:10000165,76700,USES_PROCEDURE
RADA:10000166,70553,USES_PROCEDURE
RADA:10000167,76805,USES_PROCEDURE
RADA:10000168,76536,USES_PROCEDURE
RADA:10000169,74177,USES_PROCEDURE
RADA:10000170,71048,USES_PROCEDURE
RADA:10000171,76604,USES_PROCEDURE
RADA:10000172,74176,USES_PROCEDURE
RADA:10000173,76817,USES_PROCEDURE
RADA:10000174,72158,USES_PROCEDURE
RADA:10000175,76805,USES_PROCEDURE
RADA:10000176,76604,USES_PROCEDURE
RADA:10000177,70450,USES_PROCEDURE
RADM:10000178,71048,USES_PROCEDURE
RADM:10000179,74177,USES_PROCEDURE
RADM:10000180,74175,USES_PROCEDURE
RADM:10000181,77065,USES_PROCEDURE
RADM:10000182,71046,USES_PROCEDURE
RADM:10000183,70450,USES_PROCEDURE
RADM:10000184,71047,USES_PROCEDURE
RADM:10000185,76604,USES_PROCEDURE
RADM:10000186,70486,USES_PROCEDURE
RADM:10000187,74183,USES_PROCEDURE
RADQ:10000188,72195,USES_PROCEDURE
RADQ:10000189,77065,USES_PROCEDURE
RADQ:10000190,74178,USES_PROCEDURE
RADQ:10000191,76817,USES_PROCEDURE
RADQ:10000192,77067,USES_PROCEDURE
RADQ:10000193,74178,USES_PROCEDURE
RADQ:10000194,73222,USES_PROCEDURE
RADQ:10000195,77067,USES_PROCEDURE
ESR:10000196,70544,USES_PROCEDURE
ESR:10000197,70553,USES_PROCEDURE
ESR:10000198,71046,USES_PROCEDURE
ESR:10000199,70544,USES_PROCEDURE
ESR:10000200,77080,USES_PROCEDURE
ESR:10000201,76604,USES_PROCEDURE
ESR:10000202,G9551,USES_PROCEDURE
ESR:10000203,72158,USES_PROCEDURE
ESR:10000204,73223,USES_PROCEDURE
ESR:10000205,71045,USES_PROCEDURE
CIRPA:10000206,74177,USES_PROCEDURE
CIRPA:10000207,73706,USES_PROCEDURE
CIRPA:10000208,76805,USES_PROCEDURE
CIRPA:10000209,74178,USES_PROCEDURE
CIRPA:10000210,76536,USES_PROCEDURE
CIRPA:10000211,G9551,USES_PROCEDURE
CIRPA:10000212,G9553,USES_PROCEDURE
CIRPA:10000213,74176,USES_PROCEDURE
CIRPA:10000214,76700,USES_PROCEDURE
CIRPA:10000215,76770,USES_PROCEDURE
CIRPA:10000216,72195,USES_PROCEDURE
CIRPA:10000217,70486,USES_PROCEDURE
CIRPA:10000218,72158,USES_PROCEDURE
CIRPA:10000219,71048,USES_PROCEDURE
CIRPA:10000220,71047,USES_PROCEDURE
RADI:10000221,74183,USES_PROCEDURE
RADI:10000222,71048,USES_PROCEDURE
RADI:10000223,72158,USES_PROCEDURE
RADI:10000224,74183,USES_PROCEDURE
RADI:10000225,73721,USES_PROCEDURE
RADI:10000226,72158,USES_PROCEDURE
RADI:10000227,74177,USES_PROCEDURE
RADI:10000228,72141,USES_PROCEDURE
RADI:10000229,73706,USES_PROCEDURE
RADI:10000230,G9551,USES_PROCEDURE
RADI:10000231,71048,USES_PROCEDURE
RADI:10000232,70450,USES_PROCEDURE
RADI:10000233,76700,USES_PROCEDURE
RADI:10000234,72158,USES_PROCEDURE
RADI:10000235,76536,USES_PROCEDURE
RADI:10000236,74177,USES_PROCEDURE
PMR:10000237,73201,USES_PROCEDURE
ACRB:10000238,73706,USES_PROCEDURE
ACRB:10000239,71048,USES_PROCEDURE
ACRB:10000240,74175,USES_PROCEDURE
ACRB:10000241,71048,USES_PROCEDURE
ACRB:10000242,70486,USES_PROCEDURE
ACRB:10000243,76604,USES_PROCEDURE
ACRB:10000244,71048,USES_PROCEDURE
ACRB:10000245,70544,USES_PROCEDURE
ACRB:10000246,70486,USES_PROCEDURE
ACRB:10000247,70544,USES_PROCEDURE
ACRB:10000248,72158,USES_PROCEDURE
ACRB:10000249,72148,USES_PROCEDURE
ACRB:10000250,71250,USES_PROCEDURE
RADO:10000251,74178,USES_PROCEDURE
RADO:10000252,71047,USES_PROCEDURE
RADO:10000253,76817,USES_PROCEDURE
RADO:10000254,71048,USES_PROCEDURE
RADO:10000255,72141,USES_PROCEDURE
RADO:10000256,73223,USES_PROCEDURE
RADO:10000257,76604,USES_PROCEDURE
RADO:10000258,72148,USES_PROCEDURE
RADO:10000259,70553,USES_PROCEDURE
RADO:10000260,74175,USES_PROCEDURE
RADO:10000261,74176,USES_PROCEDURE
RADO:10000262,73721,USES_PROCEDURE
RADO:10000263,72141,USES_PROCEDURE
RADO:10000264,77065,USES_PROCEDURE
RADO:10000265,G9552,USES_PROCEDURE
RADO:10000266,74176,USES_PROCEDURE
CIRPA:10000267,G9551,USES_PROCEDURE
CIRPA:10000268,73201,USES_PROCEDURE
CIRPA:10000269,74175,USES_PROCEDURE
CIRPA:10000270,70553,USES_PROCEDURE
CIRPA:10000271,72158,USES_PROCEDURE
CIRPA:10000272,74176,USES_PROCEDURE
CIRPA:10000273,76700,USES_PROCEDURE
CIRPA:10000274,72195,USES_PROCEDURE
CIRPA:10000275,71048,USES_PROCEDURE
CIRPA:10000276,74183,USES_PROCEDURE
CIRPA:10000277,72195,USES_PROCEDURE
CIRPA:10000278,76604,USES_PROCEDURE
CIRPA:10000279,73721,USES_PROCEDURE
RADS2:10000280,71250,USES_PROCEDURE
RADS2:10000281,76770,USES_PROCEDURE
RADS2:10000282,71250,USES_PROCEDURE
RADS2:10000283,70553,USES_PROCEDURE
RADS2:10000284,74183,USES_PROCEDURE
RADS2:10000285,70540,USES_PROCEDURE
RADS2:10000286,70486,USES_PROCEDURE
RADS2:10000287,G9551,USES_PROCEDURE
RADS2:10000288,73721,USES_PROCEDURE
RADS2:10000289,G9552,USES_PROCEDURE
RADS2:10000290,71048,USES_PROCEDURE
RADS2:10000291,74176,USES_PROCEDURE
RADS2:10000292,77067,USES_PROCEDURE
RADS2:10000293,73222,USES_PROCEDURE
RADS2:10000294,74175,USES_PROCEDURE
RADS2:10000295,73706,USES_PROCEDURE
RADS2:10000296,72148,USES_PROCEDURE
RASFA:10000297,70450,USES_PROCEDURE
RASFA:10000298,74176,USES_PROCEDURE
RASFA:10000299,74177,USES_PROCEDURE
RASFA:10000300,70486,USES_PROCEDURE
RASFA:10000301,76770,USES_PROCEDURE
RASFA:10000302,76805,USES_PROCEDURE
RASFA:10000303,72195,USES_PROCEDURE
RASFA:10000304,76536,USES_PROCEDURE
RASFA:10000305,71046,USES_PROCEDURE
RASFA:10000306,73222,USES_PROCEDURE
RASFA:10000307,72195,USES_PROCEDURE
RADS:10000308,71046,USES_PROCEDURE
RADS:10000309,74177,USES_PROCEDURE
RADS:10000310,76817,USES_PROCEDURE
RADS:10000311,73222,USES_PROCEDURE
RADS:10000312,76536,USES_PROCEDURE
RADS:10000313,72141,USES_PROCEDURE
RADS:10000314,77067,USES_PROCEDURE
RADS:10000315,76770,USES_PROCEDURE
RADS:10000316,76817,USES_PROCEDURE
RADS:10000317,76700,USES_PROCEDURE
RADS:10000318,G9553,USES_PROCEDURE
RADS:10000319,77080,USES_PROCEDURE
RADS:10000320,72141,USES_PROCEDURE
RADS:10000321,G9551,USES_PROCEDURE
RADS:10000322,72195,USES_PROCEDURE
RADS:10000323,74183,USES_PROCEDURE
RADS:10000324,72141,USES_PROCEDURE
RADS:10000325,74176,USES_PROCEDURE
RADS:10000326,74177,USES_PROCEDURE
CIRPA:10000327,77065,USES_PROCEDURE
CIRPA:10000328,70553,USES_PROCEDURE
ACR:10000329,77080,USES_PROCEDURE
ACR:10000330,71046,USES_PROCEDURE
ACR:10000331,70544,USES_PROCEDURE
ACR:10000332,74175,USES_PROCEDURE
ACR:10000333,74177,USES_PROCEDURE
ACR:10000334,70540,USES_PROCEDURE
ACR:10000335,72141,USES_PROCEDURE
ACR:10000336,77065,USES_PROCEDURE
ACR:10000337,72158,USES_PROCEDURE
ACR:10000338,77080,USES_PROCEDURE
ACR:10000339,76817,USES_PROCEDURE
ACR:10000340,76700,USES_PROCEDURE
ACR:10000341,74177,USES_PROCEDURE
ACR:10000342,74175,USES_PROCEDURE
RADF:10000343,72158,USES_PROCEDURE
RADF:10000344,76770,USES_PROCEDURE
RADF:10000345,G9552,USES_PROCEDURE
RADF:10000346,72141,USES_PROCEDURE
RADF:10000347,72158,USES_PROCEDURE
RADF:10000348,72148,USES_PROCEDURE
RADC:10000349,70486,USES_PROCEDURE
RADC:10000350,71047,USES_PROCEDURE
RADC:10000351,73201,USES_PROCEDURE
RADC:10000352,73201,USES_PROCEDURE
RADC:10000353,73222,USES_PROCEDURE
RADC:10000354,70544,USES_PROCEDURE
RADC:10000355,74177,USES_PROCEDURE
RADC:10000356,77065,USES_PROCEDURE
RADS2:10000357,76805,USES_PROCEDURE
RADK:10000358,74178,USES_PROCEDURE
RASFA:10000359,77080,USES_PROCEDURE
RASFA:10000360,73222,USES_PROCEDURE
RASFA:10000361,73721,USES_PROCEDURE
RASFA:10000362,73706,USES_PROCEDURE
RASFA:10000363,74175,USES_PROCEDURE
RASFA:10000364,73201,USES_PROCEDURE
RASFA:10000365,71045,USES_PROCEDURE
RASFA:10000366,70553,USES_PROCEDURE
RASFA:10000367,71046,USES_PROCEDURE
RASFA:10000368,70486,USES_PROCEDURE
RASFA:10000369,72195,USES_PROCEDURE
RASFA:10000370,71048,USES_PROCEDURE
RASFA:10000371,70544,USES_PROCEDURE
RASFA:10000372,74183,USES_PROCEDURE
RASFA:10000373,76805,USES_PROCEDURE
RASFA:10000374,76536,USES_PROCEDURE
RASFA:10000375,73223,USES_PROCEDURE
RASFA:10000376,74183,USES_PROCEDURE
RASFA:10000377,77067,USES_PROCEDURE
RASFA:10000378,74177,USES_PROCEDURE
RADQ:10000379,71048,USES_PROCEDURE
RADQ:10000380,74178,USES_PROCEDURE
RADQ:10000381,74177,USES_PROCEDURE
RADQ:10000382,70486,USES_PROCEDURE
RADQ:10000383,76536,USES_PROCEDURE
RADQ:10000384,72141,USES_PROCEDURE
RADQ:10000385,76817,USES_PROCEDURE
RADQ:10000386,76536,USES_PROCEDURE
RADQ:10000387,74176,USES_PROCEDURE
RADQ:10000388,70540,USES_PROCEDURE
RADX:10000389,70553,USES_PROCEDURE
RADX:10000390,76604,USES_PROCEDURE
RADR:10000391,74175,USES_PROCEDURE
RADR:10000392,74175,USES_PROCEDURE
RADR:10000393,76770,USES_PROCEDURE
RADR:10000394,70486,USES_PROCEDURE
RADR:10000395,74183,USES_PROCEDURE
RADR:10000396,76817,USES_PROCEDURE
RADR:10000397,76770,USES_PROCEDURE
RADR:10000398,G9552,USES_PROCEDURE
RADX:10000399,76604,USES_PROCEDURE
RADX:10000400,70553,USES_PROCEDURE
RADX:10000401,71250,USES_PROCEDURE
RADX:10000402,74183,USES_PROCEDURE
RADX:10000403,76770,USES_PROCEDURE
RADX:10000404,76805,USES_PROCEDURE
RADX:10000405,76770,USES_PROCEDURE
RADX:10000406,71048,USES_PROCEDURE
RADX:10000407,71047,USES_PROCEDURE
RADX:10000408,70450,USES_PROCEDURE
RADX:10000409,71046,USES_PROCEDURE
RADX:10000410,71047,USES_PROCEDURE
RADX:10000411,73721,USES_PROCEDURE
RADX:10000412,77067,USES_PROCEDURE
RADC:10000413,G9551,USES_PROCEDURE
RADC:10000414,71048,USES_PROCEDURE
RADC:10000415,74177,USES_PROCEDURE
RADE:10000416,73222,USES_PROCEDURE
RADE:10000417,73222,USES_PROCEDURE
RADE:10000418,72158,USES_PROCEDURE
RADE:10000419,74177,USES_PROCEDURE
PXP:10000420,76700,USES_PROCEDURE
PXP:10000421,G9552,USES_PROCEDURE
PXP:10000422,70486,USES_PROCEDURE
PXP:10000423,74177,USES_PROCEDURE
PXP:10000424,73223,USES_PROCEDURE
PXP:10000425,74175,USES_PROCEDURE
PXP:10000426,72141,USES_PROCEDURE
PXP:10000427,G9553,USES_PROCEDURE
PXP:10000428,71046,USES_PROCEDURE
PXP:10000429,76604,USES_PROCEDURE
PXP:10000430,70486,USES_PROCEDURE
RADH:10000431,76770,USES_PROCEDURE
RADH:10000432,73706,USES_PROCEDURE
RADH:10000433,74183,USES_PROCEDURE
RADH:10000434,72141,USES_PROCEDURE
RADH:10000435,76604,USES_PROCEDURE
RADH:10000436,71045,USES_PROCEDURE
RADH:10000437,70544,USES_PROCEDURE
RADH:10000438,74175,USES_PROCEDURE
RADX:10000439,70544,USES_PROCEDURE
RADX:10000440,74175,USES_PROCEDURE
RADX:10000441,71250,USES_PROCEDURE
RADX:10000442,73223,USES_PROCEDURE
RADX:10000443,74176,USES_PROCEDURE
RADX:10000444,76536,USES_PROCEDURE
RADX:10000445,74175,USES_PROCEDURE
RADX:10000446,74175,USES_PROCEDURE
RADX:10000447,73706,USES_PROCEDURE
RADX:10000448,71046,USES_PROCEDURE
RADX:10000449,73721,USES_PROCEDURE
RADX:10000450,76805,USES_PROCEDURE
RADX:10000451,76805,USES_PROCEDURE
RADX:10000452,G9553,USES_PROCEDURE
RADX:10000453,71045,USES_PROCEDURE
RADX:10000454,74183,USES_PROCEDURE
RADX:10000455,71250,USES_PROCEDURE
RADX:10000456,72148,USES_PROCEDURE
RADS2:10000457,G9553,USES_PROCEDURE
RADS2:10000458,71047,USES_PROCEDURE
RADS2:10000459,71045,USES_PROCEDURE
RADS2:10000460,76817,USES_PROCEDURE
RADS2:10000461,76770,USES_PROCEDURE
RADS2:10000462,72195,USES_PROCEDURE
RADS2:10000463,G9551,USES_PROCEDURE
RADS2:10000464,76536,USES_PROCEDURE
RADS2:10000465,71048,USES_PROCEDURE
RADS2:10000466,70540,USES_PROCEDURE
RADS2:10000467,71250,USES_PROCEDURE
RADS2:10000468,74175,USES_PROCEDURE
RADS2:10000469,70553,USES_PROCEDURE
MRB:10000470,71048,USES_PROCEDURE
MRB:10000471,77067,USES_PROCEDURE
MRB:10000472,70540,USES_PROCEDURE
MRB:10000473,76770,USES_PROCEDURE
MRB:10000474,77067,USES_PROCEDURE
MRB:10000475,76805,USES_PROCEDURE
MRB:10000476,71046,USES_PROCEDURE
MRB:10000477,74175,USES_PROCEDURE
MRB:10000478,74175,USES_PROCEDURE
MRB:10000479,73721,USES_PROCEDURE
MRB:10000480,71047,USES_PROCEDURE
SAPA:10000481,71046,USES_PROCEDURE
RADF:10000482,G9551,USES_PROCEDURE
RADF:10000483,72141,USES_PROCEDURE
RADF:10000484,77067,USES_PROCEDURE
RADF:10000485,74176,USES_PROCEDURE
RADF:10000486,74176,USES_PROCEDURE
RADF:10000487,70486,USES_PROCEDURE
RADO:10000488,74176,USES_PROCEDURE
RADO:10000489,73222,USES_PROCEDURE
RADO:10000490,71250,USES_PROCEDURE
RADO:10000491,73222,USES_PROCEDURE
RADO:10000492,73201,USES_PROCEDURE
RADO:10000493,71250,USES_PROCEDURE
RADO:10000494,70553,USES_PROCEDURE
RADO:10000495,76817,USES_PROCEDURE
RADO:10000496,71048,USES_PROCEDURE
RADO:10000497,77065,USES_PROCEDURE
RADO:10000498,73223,USES_PROCEDURE
GSIA:10000499,70544,USES_PROCEDURE
GSIA:10000500,G9552,USES_PROCEDURE
GSIA:10000501,72195,USES_PROCEDURE
GSIA:10000502,G9553,USES_PROCEDURE
GSIA:10000503,74175,USES_PROCEDURE
GSIA:10000504,71250,USES_PROCEDURE
NRAA:10000505,72148,USES_PROCEDURE
NRAA:10000506,77065,USES_PROCEDURE
NRAA:10000507,73222,USES_PROCEDURE
NRAA:10000508,74177,USES_PROCEDURE
NRAA:10000509,73223,USES_PROCEDURE
NRAA:10000510,72195,USES_PROCEDURE
NRAA:10000511,70540,USES_PROCEDURE
NRAA:10000512,74183,USES_PROCEDURE
NRAA:10000513,72148,USES_PROCEDURE
NRAA:10000514,74178,USES_PROCEDURE
NRAA:10000515,73721,USES_PROCEDURE
SAPA:10000516,74183,USES_PROCEDURE
RADI2:10000517,77065,USES_PROCEDURE
RADI2:10000518,76770,USES_PROCEDURE
RADI2:10000519,74177,USES_PROCEDURE
RADI2:10000520,71045,USES_PROCEDURE
RADI2:10000521,74178,USES_PROCEDURE
RADI2:10000522,72195,USES_PROCEDURE
RADI2:10000523,76536,USES_PROCEDURE
RADI2:10000524,77067,USES_PROCEDURE
RADI2:10000525,74177,USES_PROCEDURE
RADI2:10000526,71250,USES_PROCEDURE
RADI2:10000527,72148,USES_PROCEDURE
RADI2:10000528,77067,USES_PROCEDURE
RADI2:10000529,77080,USES_PROCEDURE
ACR:10000530,71250,USES_PROCEDURE
ACR:10000531,74177,USES_PROCEDURE
ACR:10000532,71048,USES_PROCEDURE
ACR:10000533,72141,USES_PROCEDURE
ACR:10000534,70540,USES_PROCEDURE
ACR:10000535,71250,USES_PROCEDURE
ACR:10000536,76536,USES_PROCEDURE
ACR:10000537,74178,USES_PROCEDURE
ACR:10000538,72158,USES_PROCEDURE
ACR:10000539,70553,USES_PROCEDURE
ACR:10000540,72148,USES_PROCEDURE
ACR:10000541,73201,USES_PROCEDURE
ACR:10000542,76700,USES_PROCEDURE
ACR:10000543,73222,USES_PROCEDURE
RASFA:10000544,76817,USES_PROCEDURE
RASFA:10000545,72195,USES_PROCEDURE
RASFA:10000546,70540,USES_PROCEDURE
RASFA:10000547,76770,USES_PROCEDURE
RASFA:10000548,70544,USES_PROCEDURE
RASFA:10000549,77080,USES_PROCEDURE
RASFA:10000550,74176,USES_PROCEDURE
RASFA:10000551,71046,USES_PROCEDURE
RASFA:10000552,70486,USES_PROCEDURE
RASFA:10000553,76805,USES_PROCEDURE
RASFA:10000554,72141,USES_PROCEDURE
RASFA:10000555,70544,USES_PROCEDURE
RASFA:10000556,73201,USES_PROCEDURE
RASFA:10000557,74175,USES_PROCEDURE
NRAA:10000558,73222,USES_PROCEDURE
NRAA:10000559,70553,USES_PROCEDURE
NRAA:10000560,70450,USES_PROCEDURE
NRAA:10000561,73706,USES_PROCEDURE
NRAA:10000562,71046,USES_PROCEDURE
NRAA:10000563,76536,USES_PROCEDURE
NRAA:10000564,74183,USES_PROCEDURE
NRAA:10000565,74176,USES_PROCEDURE
NRAA:10000566,74178,USES_PROCEDURE
NRAA:10000567,71047,USES_PROCEDURE
NRAA:10000568,76805,USES_PROCEDURE
NRAA:10000569,76805,USES_PROCEDURE
NRAA:10000570,74175,USES_PROCEDURE
NRAA:10000571,74178,USES_PROCEDURE
NRAA:10000572,76817,USES_PROCEDURE
RADD:10000573,73223,USES_PROCEDURE
RADD:10000574,74176,USES_PROCEDURE
RADD:10000575,73223,USES_PROCEDURE
RADD:10000576,76805,USES_PROCEDURE
RADD:10000577,76817,USES_PROCEDURE
RADD:10000578,G9551,USES_PROCEDURE
RADD:10000579,70544,USES_PROCEDURE
RADD:10000580,74175,USES_PROCEDURE
RADD:10000581,73223,USES_PROCEDURE
RADD:10000582,73222,USES_PROCEDURE
RADD:10000583,74175,USES_PROCEDURE
RADD:10000584,G9551,USES_PROCEDURE
RADD:10000585,72158,USES_PROCEDURE
RADA:10000586,70544,USES_PROCEDURE
RADA:10000587,76604,USES_PROCEDURE
RADA:10000588,72195,USES_PROCEDURE
RADA:10000589,74183,USES_PROCEDURE
RADA:10000590,70450,USES_PROCEDURE
RADA:10000591,74177,USES_PROCEDURE
RADA:10000592,77067,USES_PROCEDURE
RADA:10000593,74177,USES_PROCEDURE
RADK:10000594,74175,USES_PROCEDURE
RADK:10000595,76700,USES_PROCEDURE
RADK:10000596,72158,USES_PROCEDURE
RADK:10000597,72141,USES_PROCEDURE
RADK:10000598,76770,USES_PROCEDURE
RADK:10000599,71045,USES_PROCEDURE
RADK:10000600,74183,USES_PROCEDURE
RADK:10000601,77067,USES_PROCEDURE
RADK:10000602,77067,USES_PROCEDURE
RADK:10000603,70544,USES_PROCEDURE
RADK:10000604,72158,USES_PROCEDURE
RADK:10000605,73721,USES_PROCEDURE
MRB:10000606,70553,USES_PROCEDURE
MRB:10000607,G9553,USES_PROCEDURE
MRB:10000608,71250,USES_PROCEDURE
MRB:10000609,G9552,USES_PROCEDURE
MRB:10000610,72148,USES_PROCEDURE
MRB:10000611,G9551,USES_PROCEDURE
MRB:10000612,72148,USES_PROCEDURE
MRB:10000613,71048,USES_PROCEDURE
MRB:10000614,72158,USES_PROCEDURE
MRB:10000615,70553,USES_PROCEDURE
MRB:10000616,72158,USES_PROCEDURE
MRB:10000617,70486,USES_PROCEDURE
MRB:10000618,74175,USES_PROCEDURE
ESR:10000619,70540,USES_PROCEDURE
