:START_ID(Charge),:END_ID(Location),:TYPE
RADM:10000181,RADM:6,AT_LOCATION
RADM:10000182,RADM:3,AT_LOCATION
RADM:10000183,RADM:4,AT_LOCATION
RADM:10000184,RADM:3,AT_LOCATION
RADM:10000185,RADM:4,AT_LOCATION
RADM:10000186,RADM:5,AT_LOCATION
RADM:10000187,RADM:6,AT_LOCATION
RADQ:10000188,RADQ:2,AT_LOCATION
RADQ:10000189,RADQ:1,AT_LOCATION
RADQ:10000190,RADQ:6,AT_LOCATION
RADQ:10000191,RADQ:4,AT_LOCATION
RADQ:10000192,RADQ:6,AT_LOCATION
RADQ:10000193,RADQ:3,AT_LOCATION
RADQ:10000194,RADQ:6,AT_LOCATION
RADQ:10000195,RADQ:1,AT_LOCATION
ESR:10000196,ESR:6,AT_LOCATION
ESR:10000197,ESR:8,AT_LOCATION
ESR:10000198,ESR:5,AT_LOCATION
ESR:10000199,ESR:3,AT_LOCATION
ESR:10000200,ESR:5,AT_LOCATION
ESR:10000201,ESR:7,AT_LOCATION
ESR:10000202,ESR:2,AT_LOCATION
ESR:10000203,ESR:4,AT_LOCATION
ESR:10000204,ESR:6,AT_LOCATION
ESR:10000205,ESR:4,AT_LOCATION
CIRPA:10000206,CIRPA:6,AT_LOCATION
CIRPA:10000207,CIRPA:4,AT_LOCATION
CIRPA:10000208,CIRPA:1,AT_LOCATION
CIRPA:10000209,CIRPA:3,AT_LOCATION
CIRPA:10000210,CIRPA:3,AT_LOCATION
CIRPA:10000211,CIRPA:3,AT_LOCATION
CIRPA:10000212,CIRPA:4,AT_LOCATION
CIRPA:10000213,CIRPA:5,AT_LOCATION
CIRPA:10000214,CIRPA:3,AT_LOCATION
CIRPA:10000215,CIRPA:4,AT_LOCATION
CIRPA:10000216,CIRPA:4,AT_LOCATION
CIRPA:10000217,CIRPA:3,AT_LOCATION
CIRPA:10000218,CIRPA:2,AT_LOCATION
CIRPA:10000219,CIRPA:3,AT_LOCATION
CIRPA:10000220,CIRPA:1,AT_LOCATION
RADI:10000221,RADI:1,AT_LOCATION
RADI:10000222,RADI:3,AT_LOCATION
RADI:10000223,RADI:2,AT_LOCATION
RADI:10000224,RADI:2,AT_LOCATION
RADI:10000225,RADI:1,AT_LOCATION
RADI:10000226,RADI:4,AT_LOCATION
RADI:10000227,RADI:2,AT_LOCATION
RADI:10000228,RADI:3,AT_LOCATION
RADI:10000229,RADI:4,AT_LOCATION
RADI:10000230,RADI:3,AT_LOCATION
RADI:10000231,RADI:1,AT_LOCATION
RADI:10000232,RADI:4,AT_LOCATION
RADI:10000233,RADI:2,AT_LOCATION
RADI:10000234,RADI:4,AT_LOCATION
RADI:10000235,RADI:2,AT_LOCATION
RADI:10000236,RADI:4,AT_LOCATION
PMR:10000237,PMR:7,AT_LOCATION
ACRB:10000238,ACRB:7,AT_LOCATION
ACRB:10000239,ACRB:8,AT_LOCATION
ACRB:10000240,ACRB:6,AT_LOCATION
ACRB:10000241,ACRB:5,AT_LOCATION
ACRB:10000242,ACRB:3,AT_LOCATION
ACRB:10000243,ACRB:6,AT_LOCATION
ACRB:10000244,ACRB:7,AT_LOCATION
ACRB:10000245,ACRB:5,AT_LOCATION
ACRB:10000246,ACRB:2,AT_LOCATION
ACRB:10000247,ACRB:8,AT_LOCATION
ACRB:10000248,ACRB:1,AT_LOCATION
ACRB:10000249,ACRB:1,AT_LOCATION
ACRB:10000250,ACRB:1,AT_LOCATION
RADO:10000251,RADO:1,AT_LOCATION
RADO:10000252,RADO:1,AT_LOCATION
RADO:10000253,RADO:3,AT_LOCATION
RADO:10000254,RADO:2,AT_LOCATION
RADO:10000255,RADO:1,AT_LOCATION
RADO:10000256,RADO:5,AT_LOCATION
RADO:10000257,RADO:4,AT_LOCATION
RADO:10000258,RADO:6,AT_LOCATION
RADO:10000259,RADO:6,AT_LOCATION
RADO:10000260,RADO:4,AT_LOCATION
RADO:10000261,RADO:4,AT_LOCATION
RADO:10000262,RADO:1,AT_LOCATION
RADO:10000263,RADO:7,AT_LOCATION
RADO:10000264,RADO:3,AT_LOCATION
RADO:10000265,RADO:8,AT_LOCATION
RADO:10000266,RADO:2,AT_LOCATION
CIRPA:10000267,CIRPA:6,AT_LOCATION
CIRPA:10000268,CIRPA:2,AT_LOCATION
CIRPA:10000269,CIRPA:1,AT_LOCATION
CIRPA:10000270,CIRPA:1,AT_LOCATION
CIRPA:10000271,CIRPA:2,AT_LOCATION
CIRPA:10000272,CIRPA:4,AT_LOCATION
CIRPA:10000273,CIRPA:3,AT_LOCATION
CIRPA:10000274,CIRPA:3,AT_LOCATION
CIRPA:10000275,CIRPA:4,AT_LOCATION
CIRPA:10000276,CIRPA:4,AT_LOCATION
CIRPA:10000277,CIRPA:2,AT_LOCATION
CIRPA:10000278,CIRPA:6,AT_LOCATION
CIRPA:10000279,CIRPA:5,AT_LOCATION
RADS2:10000280,RADS2:1,AT_LOCATION
RADS2:10000281,RADS2:7,AT_LOCATION
RADS2:10000282,RADS2:1,AT_LOCATION
RADS2:10000283,RADS2:3,AT_LOCATION
RADS2:10000284,RADS2:3,AT_LOCATION
RADS2:10000285,RADS2:9,AT_LOCATION
RADS2:10000286,RADS2:9,AT_LOCATION
RADS2:10000287,RADS2:3,AT_LOCATION
RADS2:10000288,RADS2:7,AT_LOCATION
RADS2:10000289,RADS2:10,AT_LOCATION
RADS2:10000290,RADS2:4,AT_LOCATION
RADS2:10000291,RADS2:2,AT_LOCATION
RADS2:10000292,RADS2:5,AT_LOCATION
RADS2:10000293,RADS2:9,AT_LOCATION
RADS2:10000294,RADS2:11,AT_LOCATION
RADS2:10000295,RADS2:4,AT_LOCATION
RADS2:10000296,RADS2:1,AT_LOCATION
RASFA:10000297,RASFA:5,AT_LOCATION
RASFA:10000298,RASFA:3,AT_LOCATION
RASFA:10000299,RASFA:2,AT_LOCATION
RASFA:10000300,RASFA:5,AT_LOCATION
RASFA:10000301,RASFA:4,AT_LOCATION
RASFA:10000302,RASFA:1,AT_LOCATION
RASFA:10000303,RASFA:2,AT_LOCATION
RASFA:10000304,RASFA:2,AT_LOCATION
RASFA:10000305,RASFA:3,AT_LOCATION
RASFA:10000306,RASFA:4,AT_LOCATION
RASFA:10000307,RASFA:4,AT_LOCATION
RADS:10000308,RADS:4,AT_LOCATION
RADS:10000309,RADS:3,AT_LOCATION
RADS:10000310,RADS:5,AT_LOCATION
RADS:10000311,RADS:4,AT_LOCATION
RADS:10000312,RADS:5,AT_LOCATION
RADS:10000313,RADS:1,AT_LOCATION
RADS:10000314,RADS:5,AT_LOCATION
RADS:10000315,RADS:2,AT_LOCATION
RADS:10000316,RADS:4,AT_LOCATION
RADS:10000317,RADS:3,AT_LOCATION
RADS:10000318,RADS:5,AT_LOCATION
RADS:10000319,RADS:4,AT_LOCATION
RADS:10000320,RADS:3,AT_LOCATION
RADS:10000321,RADS:3,AT_LOCATION
RADS:10000322,RADS:3,AT_LOCATION
RADS:10000323,RADS:2,AT_LOCATION
RADS:10000324,RADS:5,AT_LOCATION
RADS:10000325,RADS:1,AT_LOCATION
RADS:10000326,RADS:5,AT_LOCATION
CIRPA:10000327,CIRPA:6,AT_LOCATION
CIRPA:10000328,CIRPA:2,AT_LOCATION
ACR:10000329,ACR:8,AT_LOCATION
ACR:10000330,ACR:2,AT_LOCATION
ACR:10000331,ACR:7,AT_LOCATION
ACR:10000332,ACR:5,AT_LOCATION
ACR:10000333,ACR:6,AT_LOCATION
ACR:10000334,ACR:7,AT_LOCATION
ACR:10000335,ACR:5,AT_LOCATION
ACR:10000336,ACR:2,AT_LOCATION
ACR:10000337,ACR:6,AT_LOCATION
ACR:10000338,ACR:1,AT_LOCATION
ACR:10000339,ACR:1,AT_LOCATION
ACR:10000340,ACR:9,AT_LOCATION
ACR:10000341,ACR:2,AT_LOCATION
ACR:10000342,ACR:7,AT_LOCATION
RADF:10000343,RADF:1,AT_LOCATION
RADF:10000344,RADF:3,AT_LOCATION
RADF:10000345,RADF:6,AT_LOCATION
RADF:10000346,RADF:1,AT_LOCATION
RADF:10000347,RADF:6,AT_LOCATION
RADF:10000348,RADF:5,AT_LOCATION
RADC:10000349,RADC:2,AT_LOCATION
RADC:10000350,RADC:4,AT_LOCATION
RADC:10000351,RADC:5,AT_LOCATION
RADC:10000352,RADC:4,AT_LOCATION
RADC:10000353,RADC:1,AT_LOCATION
RADC:10000354,RADC:4,AT_LOCATION
RADC:10000355,RADC:5,AT_LOCATION
RADC:10000356,RADC:5,AT_LOCATION
RADS2:10000357,RADS2:9,AT_LOCATION
RADK:10000358,RADK:5,AT_LOCATION
RASFA:10000359,RASFA:7,AT_LOCATION
RASFA:10000360,RASFA:6,AT_LOCATION
RASFA:10000361,RASFA:4,AT_LOCATION
RASFA:10000362,RASFA:5,AT_LOCATION
RASFA:10000363,RASFA:2,AT_LOCATION
RASFA:10000364,RASFA:7,AT_LOCATION
RASFA:10000365,RASFA:4,AT_LOCATION
RASFA:10000366,RASFA:3,AT_LOCATION
RASFA:10000367,RASFA:1,AT_LOCATION
RASFA:10000368,RASFA:7,AT_LOCATION
RASFA:10000369,RASFA:4,AT_LOCATION
RASFA:10000370,RASFA:3,AT_LOCATION
RASFA:10000371,RASFA:2,AT_LOCATION
RASFA:10000372,RASFA:3,AT_LOCATION
RASFA:10000373,RASFA:7,AT_LOCATION
RASFA:10000374,RASFA:3,AT_LOCATION
RASFA:10000375,RASFA:4,AT_LOCATION
RASFA:10000376,RASFA:2,AT_LOCATION
RASFA:10000377,RASFA:1,AT_LOCATION
RASFA:10000378,RASFA:3,AT_LOCATION
RADQ:10000379,RADQ:5,AT_LOCATION
RADQ:10000380,RADQ:5,AT_LOCATION
RADQ:10000381,RADQ:4,AT_LOCATION
RADQ:10000382,RADQ:2,AT_LOCATION
RADQ:10000383,RADQ:1,AT_LOCATION
RADQ:10000384,RADQ:3,AT_LOCATION
RADQ:10000385,RADQ:1,AT_LOCATION
RADQ:10000386,RADQ:1,AT_LOCATION
RADQ:10000387,RADQ:5,AT_LOCATION
RADQ:10000388,RADQ:2,AT_LOCATION
RADX:10000389,RADX:3,AT_LOCATION
RADX:10000390,RADX:4,AT_LOCATION
RADR:10000391,RADR:3,AT_LOCATION
RADR:10000392,RADR:2,AT_LOCATION
RADR:10000393,RADR:1,AT_LOCATION
RADR:10000394,RADR:8,AT_LOCATION
RADR:10000395,RADR:8,AT_LOCATION
RADR:10000396,RADR:5,AT_LOCATION
RADR:10000397,RADR:6,AT_LOCATION
RADR:10000398,RADR:5,AT_LOCATION
RADX:10000399,RADX:3,AT_LOCATION
RADX:10000400,RADX:3,AT_LOCATION
RADX:10000401,RADX:4,AT_LOCATION
RADX:10000402,RADX:1,AT_LOCATION
RADX:10000403,RADX:2,AT_LOCATION
RADX:10000404,RADX:3,AT_LOCATION
RADX:10000405,RADX:2,AT_LOCATION
RADX:10000406,RADX:3,AT_LOCATION
RADX:10000407,RADX:4,AT_LOCATION
RADX:10000408,RADX:5,AT_LOCATION
RADX:10000409,RADX:4,AT_LOCATION
RADX:10000410,RADX:1,AT_LOCATION
RADX:10000411,RADX:5,AT_LOCATION
RADX:10000412,RADX:4,AT_LOCATION
RADC:10000413,RADC:5,AT_LOCATION
RADC:10000414,RADC:3,AT_LOCATION
RADC:10000415,RADC:6,AT_LOCATION
RADE:10000416,RADE:6,AT_LOCATION
RADE:10000417,RADE:8,AT_LOCATION
RADE:10000418,RADE:5,AT_LOCATION
RADE:10000419,RADE:4,AT_LOCATION
PXP:10000420,PXP:2,AT_LOCATION
PXP:10000421,PXP:2,AT_LOCATION
PXP:10000422,PXP:4,AT_LOCATION
PXP:10000423,PXP:4,AT_LOCATION
PXP:10000424,PXP:3,AT_LOCATION
PXP:10000425,PXP:4,AT_LOCATION
PXP:10000426,PXP:4,AT_LOCATION
PXP:10000427,PXP:1,AT_LOCATION
PXP:10000428,PXP:1,AT_LOCATION
PXP:10000429,PXP:1,AT_LOCATION
PXP:10000430,PXP:3,AT_LOCATION
RADH:10000431,RADH:5,AT_LOCATION
RADH:10000432,RADH:6,AT_LOCATION
RADH:10000433,RADH:6,AT_LOCATION
RADH:10000434,RADH:5,AT_LOCATION
RADH:10000435,RADH:6,AT_LOCATION
RADH:10000436,RADH:7,AT_LOCATION
RADH:10000437,RADH:3,AT_LOCATION
RADH:10000438,RADH:6,AT_LOCATION
RADX:10000439,RADX:5,AT_LOCATION
RADX:10000440,RADX:4,AT_LOCATION
RADX:10000441,RADX:5,AT_LOCATION
RADX:10000442,RADX:2,AT_LOCATION
RADX:10000443,RADX:2,AT_LOCATION
RADX:10000444,RADX:4,AT_LOCATION
RADX:10000445,RADX:3,AT_LOCATION
RADX:10000446,RADX:5,AT_LOCATION
RADX:10000447,RADX:1,AT_LOCATION
RADX:10000448,RADX:5,AT_LOCATION
RADX:10000449,RADX:4,AT_LOCATION
RADX:10000450,RADX:4,AT_LOCATION
RADX:10000451,RADX:2,AT_LOCATION
RADX:10000452,RADX:5,AT_LOCATION
RADX:10000453,RADX:1,AT_LOCATION
RADX:10000454,RADX:5,AT_LOCATION
RADX:10000455,RADX:4,AT_LOCATION
RADX:10000456,RADX:2,AT_LOCATION
RADS2:10000457,RADS2:1,AT_LOCATION
RADS2:10000458,RADS2:4,AT_LOCATION
RADS2:10000459,RADS2:4,AT_LOCATION
RADS2:10000460,RADS2:10,AT_LOCATION
RADS2:10000461,RADS2:3,AT_LOCATION
RADS2:10000462,RADS2:6,AT_LOCATION
RADS2:10000463,RADS2:9,AT_LOCATION
RADS2:10000464,RADS2:7,AT_LOCATION
RADS2:10000465,RADS2:10,AT_LOCATION
RADS2:10000466,RADS2:5,AT_LOCATION
RADS2:10000467,RADS2:4,AT_LOCATION
RADS2:10000468,RADS2:8,AT_LOCATION
RADS2:10000469,RADS2:2,AT_LOCATION
MRB:10000470,MRB:2,AT_LOCATION
MRB:10000471,MRB:2,AT_LOCATION
MRB:10000472,MRB:3,AT_LOCATION
MRB:10000473,MRB:9,AT_LOCATION
MRB:10000474,MRB:8,AT_LOCATION
MRB:10000475,MRB:3,AT_LOCATION
MRB:10000476,MRB:10,AT_LOCATION
MRB:10000477,MRB:6,AT_LOCATION
MRB:10000478,MRB:7,AT_LOCATION
MRB:10000479,MRB:9,AT_LOCATION
MRB:10000480,MRB:2,AT_LOCATION
SAPA:10000481,SAPA:5,AT_LOCATION
RADF:10000482,RADF:5,AT_LOCATION
RADF:10000483,RADF:6,AT_LOCATION
RADF:10000484,RADF:3,AT_LOCATION
RADF:10000485,RADF:1,AT_LOCATION
RADF:10000486,RADF:3,AT_LOCATION
RADF:10000487,RADF:2,AT_LOCATION
RADO:10000488,RADO:8,AT_LOCATION
RADO:10000489,RADO:4,AT_LOCATION
RADO:10000490,RADO:7,AT_LOCATION
RADO:10000491,RADO:2,AT_LOCATION
RADO:10000492,RADO:3,AT_LOCATION
RADO:10000493,RADO:2,AT_LOCATION
RADO:10000494,RADO:1,AT_LOCATION
RADO:10000495,RADO:8,AT_LOCATION
RADO:10000496,RADO:6,AT_LOCATION
RADO:10000497,RADO:7,AT_LOCATION
RADO:10000498,RADO:3,AT_LOCATION
GSIA:10000499,GSIA:3,AT_LOCATION
GSIA:10000500,GSIA:4,AT_LOCATION
GSIA:10000501,GSIA:5,AT_LOCATION
GSIA:10000502,GSIA:1,AT_LOCATION
GSIA:10000503,GSIA:4,AT_LOCATION
GSIA:10000504,GSIA:2,AT_LOCATION
NRAA:10000505,NRAA:5,AT_LOCATION
NRAA:10000506,NRAA:1,AT_LOCATION
NRAA:10000507,NRAA:2,AT_LOCATION
NRAA:10000508,NRAA:5,AT_LOCATION
NRAA:10000509,NRAA:4,AT_LOCATION
NRAA:10000510,NRAA:2,AT_LOCATION
NRAA:10000511,NRAA:3,AT_LOCATION
NRAA:10000512,NRAA:2,AT_LOCATION
NRAA:10000513,NRAA:2,AT_LOCATION
NRAA:10000514,NRAA:3,AT_LOCATION
NRAA:10000515,NRAA:3,AT_LOCATION
SAPA:10000516,SAPA:4,AT_LOCATION
RADI2:10000517,RADI2:1,AT_LOCATION
RADI2:10000518,RADI2:1,AT_LOCATION
RADI2:10000519,RADI2:5,AT_LOCATION
RADI2:10000520,RADI2:1,AT_LOCATION
RADI2:10000521,RADI2:3,AT_LOCATION
RADI2:10000522,RADI2:2,AT_LOCATION
RADI2:10000523,RADI2:2,AT_LOCATION
RADI2:10000524,RADI2:1,AT_LOCATION
RADI2:10000525,RADI2:5,AT_LOCATION
RADI2:10000526,RADI2:3,AT_LOCATION
RADI2:10000527,RADI2:4,AT_LOCATION
RADI2:10000528,RADI2:5,AT_LOCATION
RADI2:10000529,RADI2:5,AT_LOCATION
ACR:10000530,ACR:6,AT_LOCATION
ACR:10000531,ACR:3,AT_LOCATION
ACR:10000532,ACR:1,AT_LOCATION
ACR:10000533,ACR:3,AT_LOCATION
ACR:10000534,ACR:6,AT_LOCATION
ACR:10000535,ACR:8,AT_LOCATION
ACR:10000536,ACR:10,AT_LOCATION
ACR:10000537,ACR:3,AT_LOCATION
ACR:10000538,ACR:7,AT_LOCATION
ACR:10000539,ACR:8,AT_LOCATION
ACR:10000540,ACR:3,AT_LOCATION
ACR:10000541,ACR:3,AT_LOCATION
ACR:10000542,ACR:7,AT_LOCATION
ACR:10000543,ACR:7,AT_LOCATION
RASFA:10000544,RASFA:4,AT_LOCATION
RASFA:10000545,RASFA:6,AT_LOCATION
RASFA:10000546,RASFA:3,AT_LOCATION
RASFA:10000547,RASFA:3,AT_LOCATION
RASFA:10000548,RASFA:4,AT_LOCATION
RASFA:10000549,RASFA:4,AT_LOCATION
RASFA:10000550,RASFA:7,AT_LOCATION
RASFA:10000551,RASFA:1,AT_LOCATION
RASFA:10000552,RASFA:7,AT_LOCATION
RASFA:10000553,RASFA:5,AT_LOCATION
RASFA:10000554,RASFA:7,AT_LOCATION
RASFA:10000555,RASFA:7,AT_LOCATION
RASFA:10000556,RASFA:5,AT_LOCATION
RASFA:10000557,RASFA:5,AT_LOCATION
NRAA:10000558,NRAA:1,AT_LOCATION
NRAA:10000559,NRAA:2,AT_LOCATION
NRAA:10000560,NRAA:3,AT_LOCATION
NRAA:10000561,NRAA:4,AT_LOCATION
NRAA:10000562,NRAA:5,AT_LOCATION
NRAA:10000563,NRAA:5,AT_LOCATION
NRAA:10000564,NRAA:3,AT_LOCATION
NRAA:10000565,NRAA:1,AT_LOCATION
NRAA:10000566,NRAA:6,AT_LOCATION
NRAA:10000567,NRAA:2,AT_LOCATION
NRAA:10000568,NRAA:2,AT_LOCATION
NRAA:10000569,NRAA:4,AT_LOCATION
NRAA:10000570,NRAA:5,AT_LOCATION
NRAA:10000571,NRAA:2,AT_LOCATION
NRAA:10000572,NRAA:3,AT_LOCATION
RADD:10000573,RADD:6,AT_LOCATION
RADD:10000574,RADD:6,AT_LOCATION
RADD:10000575,RADD:2,AT_LOCATION
RADD:10000576,RADD:4,AT_LOCATION
RADD:10000577,RADD:1,AT_LOCATION
RADD:10000578,RADD:6,AT_LOCATION
RADD:10000579,RADD:3,AT_LOCATION
RADD:10000580,RADD:2,AT_LOCATION
RADD:10000581,RADD:1,AT_LOCATION
RADD:10000582,RADD:6,AT_LOCATION
RADD:10000583,RADD:4,AT_LOCATION
RADD:10000584,RADD:5,AT_LOCATION
RADD:10000585,RADD:6,AT_LOCATION
