insuranceId:ID(InsurancePlan),source_db,plan_number,plan_name,plan_type,carrier_name,:LABEL
SAPA:100137,SAPA,100137,CIGNA PPO,PPO,CIGNA,InsurancePlan
RADY:100146,RADY,100146,UNITED PPO,PPO,UNITED,InsurancePlan
ESR:100154,ESR,100154,AETNA INDEMNITY,INDEMNITY,AETNA,InsurancePlan
RADX:100161,RADX,100161,HUMANA INDEMNITY,INDEMNITY,HUMANA,InsurancePlan
SAPA:100166,SAPA,100166,CIGNA HMO,HMO,CIGNA,InsurancePlan
RADI:100174,RADI,100174,BCBS EPO,EPO,BCBS,InsurancePlan
CRC:100181,CRC,100181,HUMANA EPO,EPO,HUMANA,InsurancePlan
RADZ:100189,RADZ,100189,COMMERCIAL HDHP,HDHP,COMMERCIAL,InsurancePlan
RADD:100191,RADD,100191,CIGNA HMO,HMO,CIGNA,InsurancePlan
RADI:100197,RADI,100197,BCBS TPA,TPA,BCBS,InsurancePlan
RADU:100204,RADU,100204,AETNA PPO,PPO,AETNA,InsurancePlan
RADI:100209,RADI,100209,MEDICAID HDHP,HDHP,MEDICAID,InsurancePlan
RADI:100217,RADI,100217,HUMANA INDEMNITY,INDEMNITY,HUMANA,InsurancePlan
RADI2:100218,RADI2,100218,MEDICARE POS,POS,MEDICARE,InsurancePlan
RADU:100221,RADU,100221,MEDICAID MCRASSIGN,MCRASSIGN,MEDICAID,InsurancePlan
RASFA:100227,RASFA,100227,MEDICARE POS,POS,MEDICARE,InsurancePlan
RADZ:100232,RADZ,100232,AETNA MCRASSIGN,MCRASSIGN,AETNA,InsurancePlan
RADG:100233,RADG,100233,COMMERCIAL INDEMNITY,INDEMNITY,COMMERCIAL,InsurancePlan
MRB:100235,MRB,100235,AETNA EPO,EPO,AETNA,InsurancePlan
PMR:100237,PMR,100237,COVENTRY TPA,TPA,COVENTRY,InsurancePlan
NRAA:100242,NRAA,100242,BCBS EPO,EPO,BCBS,InsurancePlan
RADU:100249,RADU,100249,BCBS HMO,HMO,BCBS,InsurancePlan
RADX:100256,RADX,100256,AETNA PPO,PPO,AETNA,InsurancePlan
RADH:100261,RADH,100261,AETNA MCDASSIGN,MCDASSIGN,AETNA,InsurancePlan
PXP:100268,PXP,100268,MEDICARE PPO,PPO,MEDICARE,InsurancePlan
RADK:100276,RADK,100276,MEDICARE EPO,EPO,MEDICARE,InsurancePlan
SMED:100277,SMED,100277,MAGELLAN INDEMNITY,INDEMNITY,MAGELLAN,InsurancePlan
GRH:100286,GRH,100286,BCBS POS,POS,BCBS,InsurancePlan
MRB:100294,MRB,100294,MEDICARE HMO,HMO,MEDICARE,InsurancePlan
RADK:100303,RADK,100303,AETNA TPA,TPA,AETNA,InsurancePlan
RADR:100308,RADR,100308,CIGNA MCRASSIGN,MCRASSIGN,CIGNA,InsurancePlan
RADP:100309,RADP,100309,BCBS INDEMNITY,INDEMNITY,BCBS,InsurancePlan
RADS:100313,RADS,100313,BCBS POS,POS,BCBS,InsurancePlan
RADN:100316,RADN,100316,AETNA POS,POS,AETNA,InsurancePlan
RADC:100321,RADC,100321,MEDICARE COMM,COMM,MEDICARE,InsurancePlan
RADL:100327,RADL,100327,COMMERCIAL INDEMNITY,INDEMNITY,COMMERCIAL,InsurancePlan
RADG:100336,RADG,100336,MEDICAID TPA,TPA,MEDICAID,InsurancePlan
RADZ:100337,RADZ,100337,MOLINA COMM,COMM,MOLINA,InsurancePlan
CIRPA:100343,CIRPA,100343,BCBS POS,POS,BCBS,InsurancePlan
RADY:100351,RADY,100351,MEDICARE COMM,COMM,MEDICARE,InsurancePlan
WRAD:100353,WRAD,100353,BRIGHT HEALTH PPO,PPO,BRIGHT HEALTH,InsurancePlan
RADS:100361,RADS,100361,BCBS HDHP,HDHP,BCBS,InsurancePlan
SAPA:100364,SAPA,100364,HUMANA EPO,EPO,HUMANA,InsurancePlan
RADR:100368,RADR,100368,COVENTRY EPO,EPO,COVENTRY,InsurancePlan
SMED:100374,SMED,100374,CIGNA TPA,TPA,CIGNA,InsurancePlan
RADO:100383,RADO,100383,BCBS INDEMNITY,INDEMNITY,BCBS,InsurancePlan
MRB:100384,MRB,100384,COMMERCIAL HDHP,HDHP,COMMERCIAL,InsurancePlan
RASFA:100388,RASFA,100388,MEDICARE INDEMNITY,INDEMNITY,MEDICARE,InsurancePlan
RADM:100393,RADM,100393,BCBS EPO,EPO,BCBS,InsurancePlan
CRC:100399,CRC,100399,UNITED MCRASSIGN,MCRASSIGN,UNITED,InsurancePlan
RADF:100404,RADF,100404,BCBS MCRASSIGN,MCRASSIGN,BCBS,InsurancePlan
RADS2:100410,RADS2,100410,MEDICARE HDHP,HDHP,MEDICARE,InsurancePlan
RADZ:100419,RADZ,100419,HUMANA HMO,HMO,HUMANA,InsurancePlan
RADO:100422,RADO,100422,CIGNA MCDASSIGN,MCDASSIGN,CIGNA,InsurancePlan
GSIA:100424,GSIA,100424,BCBS PPO,PPO,BCBS,InsurancePlan
RADS:100426,RADS,100426,CIGNA MCRASSIGN,MCRASSIGN,CIGNA,InsurancePlan
RADH:100429,RADH,100429,AETNA TPA,TPA,AETNA,InsurancePlan
TRI:100437,TRI,100437,MEDICARE HMO,HMO,MEDICARE,InsurancePlan
RADU:100439,RADU,100439,BCBS PPO,PPO,BCBS,InsurancePlan
SAPA:100441,SAPA,100441,UNITED MCDASSIGN,MCDASSIGN,UNITED,InsurancePlan
PXP:100442,PXP,100442,MAGELLAN PPO,PPO,MAGELLAN,InsurancePlan
RADR:100449,RADR,100449,BCBS INDEMNITY,INDEMNITY,BCBS,InsurancePlan
RADO:100452,RADO,100452,COMMERCIAL MCDASSIGN,MCDASSIGN,COMMERCIAL,InsurancePlan
RADM:100457,RADM,100457,BCBS TPA,TPA,BCBS,InsurancePlan
RADG:100459,RADG,100459,COMMERCIAL MCDASSIGN,MCDASSIGN,COMMERCIAL,InsurancePlan
RADP:100463,RADP,100463,AETNA HDHP,HDHP,AETNA,InsurancePlan
RADS:100469,RADS,100469,MEDICARE HMO,HMO,MEDICARE,InsurancePlan
RADR:100477,RADR,100477,UNITED HMO,HMO,UNITED,InsurancePlan
RADS:100478,RADS,100478,UNITED MCRASSIGN,MCRASSIGN,UNITED,InsurancePlan
RADM:100484,RADM,100484,CIGNA EPO,EPO,CIGNA,InsurancePlan
RADH:100492,RADH,100492,BCBS PPO,PPO,BCBS,InsurancePlan
RASFA:100497,RASFA,100497,AETNA POS,POS,AETNA,InsurancePlan
PMR:100500,PMR,100500,BCBS TPA,TPA,BCBS,InsurancePlan
MRB:100501,MRB,100501,BCBS INDEMNITY,INDEMNITY,BCBS,InsurancePlan
RADL:100502,RADL,100502,WELLCARE POS,POS,WELLCARE,InsurancePlan
ACRB:100511,ACRB,100511,MEDICAID EPO,EPO,MEDICAID,InsurancePlan
RADL:100518,RADL,100518,CIGNA HDHP,HDHP,CIGNA,InsurancePlan
ACR:100519,ACR,100519,UNITED MCDASSIGN,MCDASSIGN,UNITED,InsurancePlan
RADL:100527,RADL,100527,UNITED INDEMNITY,INDEMNITY,UNITED,InsurancePlan
GRH:100534,GRH,100534,MEDICARE INDEMNITY,INDEMNITY,MEDICARE,InsurancePlan
RADI:100542,RADI,100542,MEDICARE EPO,EPO,MEDICARE,InsurancePlan
WRAD:100546,WRAD,100546,UNITED PPO,PPO,UNITED,InsurancePlan
RADQ:100551,RADQ,100551,BRIGHT HEALTH INDEMNITY,INDEMNITY,BRIGHT HEALTH,InsurancePlan
RADS:100560,RADS,100560,CIGNA POS,POS,CIGNA,InsurancePlan
NRA:100564,NRA,100564,BCBS HMO,HMO,BCBS,InsurancePlan
ESR:100572,ESR,100572,UNITED MCDASSIGN,MCDASSIGN,UNITED,InsurancePlan
ESR:100574,ESR,100574,MEDICAID EPO,EPO,MEDICAID,InsurancePlan
GRH:100579,GRH,100579,HUMANA MCDASSIGN,MCDASSIGN,HUMANA,InsurancePlan
RADS:100588,RADS,100588,BCBS MCRASSIGN,MCRASSIGN,BCBS,InsurancePlan
PXP:100596,PXP,100596,HUMANA COMM,COMM,HUMANA,InsurancePlan
PXP:100601,PXP,100601,UNITED HMO,HMO,UNITED,InsurancePlan
RADA:100603,RADA,100603,BCBS HDHP,HDHP,BCBS,InsurancePlan
RADL:100609,RADL,100609,CIGNA COMM,COMM,CIGNA,InsurancePlan
RADM:100616,RADM,100616,BCBS COMM,COMM,BCBS,InsurancePlan
RADL:100622,RADL,100622,CIGNA MCDASSIGN,MCDASSIGN,CIGNA,InsurancePlan
RADR:100626,RADR,100626,CIGNA TPA,TPA,CIGNA,InsurancePlan
RADP:100629,RADP,100629,MEDICARE HDHP,HDHP,MEDICARE,InsurancePlan
RADG:100636,RADG,100636,AETNA EPO,EPO,AETNA,InsurancePlan
ACR:100638,ACR,100638,BCBS TPA,TPA,BCBS,InsurancePlan
IAI:100639,IAI,100639,MEDICAID EPO,EPO,MEDICAID,InsurancePlan
RADB:100642,RADB,100642,AETNA COMM,COMM,AETNA,InsurancePlan
RADS:100647,RADS,100647,HUMANA EPO,EPO,HUMANA,InsurancePlan
RADR:100655,RADR,100655,BCBS HMO,HMO,BCBS,InsurancePlan
RADA:100658,RADA,100658,CIGNA HMO,HMO,CIGNA,InsurancePlan
RADM:100663,RADM,100663,UNITED HDHP,HDHP,UNITED,InsurancePlan
RADI:100668,RADI,100668,COVENTRY MCDASSIGN,MCDASSIGN,COVENTRY,InsurancePlan
RADR:100669,RADR,100669,UNITED HDHP,HDHP,UNITED,InsurancePlan
RADZ:100677,RADZ,100677,CENTENE POS,POS,CENTENE,InsurancePlan
GSIA:100682,GSIA,100682,BCBS MCDASSIGN,MCDASSIGN,BCBS,InsurancePlan
RADF:100687,RADF,100687,HUMANA INDEMNITY,INDEMNITY,HUMANA,InsurancePlan
RADB:100689,RADB,100689,MEDICARE INDEMNITY,INDEMNITY,MEDICARE,InsurancePlan
WRAD:100692,WRAD,100692,AETNA COMM,COMM,AETNA,InsurancePlan
RADS2:100697,RADS2,100697,AETNA COMM,COMM,AETNA,InsurancePlan
RADI:100702,RADI,100702,AETNA INDEMNITY,INDEMNITY,AETNA,InsurancePlan
RADK:100705,RADK,100705,CIGNA TPA,TPA,CIGNA,InsurancePlan
RADU:100711,RADU,100711,MOLINA PPO,PPO,MOLINA,InsurancePlan
WRAD:100717,WRAD,100717,COMMERCIAL HDHP,HDHP,COMMERCIAL,InsurancePlan
TRI:100719,TRI,100719,MEDICARE EPO,EPO,MEDICARE,InsurancePlan
NRAA:100721,NRAA,100721,UNITED TPA,TPA,UNITED,InsurancePlan
SAPA:100729,SAPA,100729,BCBS HDHP,HDHP,BCBS,InsurancePlan
RADZ:100738,RADZ,100738,BCBS EPO,EPO,BCBS,InsurancePlan
CIRPA:100747,CIRPA,100747,UNITED TPA,TPA,UNITED,InsurancePlan
RADB:100755,RADB,100755,UNITED INDEMNITY,INDEMNITY,UNITED,InsurancePlan
IAI:100757,IAI,100757,AETNA EPO,EPO,AETNA,InsurancePlan
RADX:100762,RADX,100762,MEDICARE POS,POS,MEDICARE,InsurancePlan
WRAD:100763,WRAD,100763,HUMANA MCDASSIGN,MCDASSIGN,HUMANA,InsurancePlan
WRAD:100767,WRAD,100767,UNITED MCRASSIGN,MCRASSIGN,UNITED,InsurancePlan
RADG:100769,RADG,100769,UNITED EPO,EPO,UNITED,InsurancePlan
RADG:100778,RADG,100778,AETNA MCDASSIGN,MCDASSIGN,AETNA,InsurancePlan
GRH:100780,GRH,100780,UNITED HDHP,HDHP,UNITED,InsurancePlan
RADQ:100785,RADQ,100785,MEDICARE MCRASSIGN,MCRASSIGN,MEDICARE,InsurancePlan
ACR:100790,ACR,100790,MEDICARE EPO,EPO,MEDICARE,InsurancePlan
RADU:100797,RADU,100797,UNITED MCDASSIGN,MCDASSIGN,UNITED,InsurancePlan
GSIA:100805,GSIA,100805,UNITED POS,POS,UNITED,InsurancePlan
RADL:100813,RADL,100813,HUMANA HDHP,HDHP,HUMANA,InsurancePlan
RASFA:100814,RASFA,100814,MEDICARE TPA,TPA,MEDICARE,InsurancePlan
GSIA:100821,GSIA,100821,COMMERCIAL EPO,EPO,COMMERCIAL,InsurancePlan
ESR:100829,ESR,100829,AETNA POS,POS,AETNA,InsurancePlan
RADN:100831,RADN,100831,COMMERCIAL HMO,HMO,COMMERCIAL,InsurancePlan
RADI:100835,RADI,100835,BCBS TPA,TPA,BCBS,InsurancePlan
NRA:100839,NRA,100839,CIGNA EPO,EPO,CIGNA,InsurancePlan
NRAA:100845,NRAA,100845,MEDICARE MCDASSIGN,MCDASSIGN,MEDICARE,InsurancePlan
RADJ:100847,RADJ,100847,BCBS INDEMNITY,INDEMNITY,BCBS,InsurancePlan
RADJ:100851,RADJ,100851,MEDICAID EPO,EPO,MEDICAID,InsurancePlan
RADO:100853,RADO,100853,WELLCARE COMM,COMM,WELLCARE,InsurancePlan
RADX:100858,RADX,100858,MEDICARE TPA,TPA,MEDICARE,InsurancePlan
RADB:100859,RADB,100859,UNITED PPO,PPO,UNITED,InsurancePlan
RADP:100861,RADP,100861,BCBS HDHP,HDHP,BCBS,InsurancePlan
RADO:100868,RADO,100868,AETNA TPA,TPA,AETNA,InsurancePlan
ACR:100874,ACR,100874,BCBS PPO,PPO,BCBS,InsurancePlan
RADR:100878,RADR,100878,UNITED TPA,TPA,UNITED,InsurancePlan
GRH:100883,GRH,100883,MEDICARE PPO,PPO,MEDICARE,InsurancePlan
RADI2:100889,RADI2,100889,HUMANA MCRASSIGN,MCRASSIGN,HUMANA,InsurancePlan
IAI:100897,IAI,100897,MEDICARE EPO,EPO,MEDICARE,InsurancePlan
RADQ:100901,RADQ,100901,BCBS EPO,EPO,BCBS,InsurancePlan
RADD:100910,RADD,100910,HUMANA EPO,EPO,HUMANA,InsurancePlan
RADH:100914,RADH,100914,COMMERCIAL POS,POS,COMMERCIAL,InsurancePlan
MRB:100922,MRB,100922,MEDICARE POS,POS,MEDICARE,InsurancePlan
RADF:100926,RADF,100926,BCBS HDHP,HDHP,BCBS,InsurancePlan
ACR:100935,ACR,100935,UNITED MCRASSIGN,MCRASSIGN,UNITED,InsurancePlan
RADG:100938,RADG,100938,UNITED TPA,TPA,UNITED,InsurancePlan
IAI:100939,IAI,100939,UNITED TPA,TPA,UNITED,InsurancePlan
RADI2:100947,RADI2,100947,UNITED INDEMNITY,INDEMNITY,UNITED,InsurancePlan
ACR:100953,ACR,100953,BCBS POS,POS,BCBS,InsurancePlan
NRAA:100961,NRAA,100961,HUMANA INDEMNITY,INDEMNITY,HUMANA,InsurancePlan
RADP:100965,RADP,100965,BCBS PPO,PPO,BCBS,InsurancePlan
RADX:100972,RADX,100972,BCBS PPO,PPO,BCBS,InsurancePlan
RADX:100974,RADX,100974,CIGNA HDHP,HDHP,CIGNA,InsurancePlan
RADP:100983,RADP,100983,MEDICAID EPO,EPO,MEDICAID,InsurancePlan
RADJ:100987,RADJ,100987,MEDICARE MCRASSIGN,MCRASSIGN,MEDICARE,InsurancePlan
MRB:100996,MRB,100996,CIGNA MCDASSIGN,MCDASSIGN,CIGNA,InsurancePlan
GSIA:101002,GSIA,101002,BCBS MCRASSIGN,MCRASSIGN,BCBS,InsurancePlan
RADG:101010,RADG,101010,CIGNA MCDASSIGN,MCDASSIGN,CIGNA,InsurancePlan
IAI:101018,IAI,101018,UNITED EPO,EPO,UNITED,InsurancePlan
PXP:101025,PXP,101025,MEDICAID PPO,PPO,MEDICAID,InsurancePlan
RADE:101033,RADE,101033,MEDICAID PPO,PPO,MEDICAID,InsurancePlan
RADY:101036,RADY,101036,BCBS TPA,TPA,BCBS,InsurancePlan
SMED:101044,SMED,101044,MEDICARE HDHP,HDHP,MEDICARE,InsurancePlan
RADA:101050,RADA,101050,COMMERCIAL HMO,HMO,COMMERCIAL,InsurancePlan
ACRB:101054,ACRB,101054,HUMANA TPA,TPA,HUMANA,InsurancePlan
RADS2:101063,RADS2,101063,MEDICAID MCRASSIGN,MCRASSIGN,MEDICAID,InsurancePlan
RADD:101064,RADD,101064,MEDICAID POS,POS,MEDICAID,InsurancePlan
RADF:101070,RADF,101070,BCBS TPA,TPA,BCBS,InsurancePlan
RADJ:101073,RADJ,101073,BCBS POS,POS,BCBS,InsurancePlan
RADE:101082,RADE,101082,BCBS PPO,PPO,BCBS,InsurancePlan
RADO:101086,RADO,101086,BCBS COMM,COMM,BCBS,InsurancePlan
RADG:101090,RADG,101090,BCBS INDEMNITY,INDEMNITY,BCBS,InsurancePlan
NRAA:101097,NRAA,101097,UNITED MCRASSIGN,MCRASSIGN,UNITED,InsurancePlan
IAI:101100,IAI,101100,AETNA PPO,PPO,AETNA,InsurancePlan
SMED:101101,SMED,101101,CIGNA MCRASSIGN,MCRASSIGN,CIGNA,InsurancePlan
RADE:101102,RADE,101102,HUMANA TPA,TPA,HUMANA,InsurancePlan
ESR:101110,ESR,101110,CIGNA TPA,TPA,CIGNA,InsurancePlan
RADR:101118,RADR,101118,UNITED MCRASSIGN,MCRASSIGN,UNITED,InsurancePlan
RADX:101119,RADX,101119,BCBS INDEMNITY,INDEMNITY,BCBS,InsurancePlan
RASFA:101127,RASFA,101127,MOLINA HDHP,HDHP,MOLINA,InsurancePlan
IAI:101134,IAI,101134,CIGNA INDEMNITY,INDEMNITY,CIGNA,InsurancePlan
GRH:101136,GRH,101136,CIGNA EPO,EPO,CIGNA,InsurancePlan
RADE:101142,RADE,101142,BCBS PPO,PPO,BCBS,InsurancePlan
NRA:101151,NRA,101151,AETNA HMO,HMO,AETNA,InsurancePlan
RADO:101155,RADO,101155,MEDICARE MCDASSIGN,MCDASSIGN,MEDICARE,InsurancePlan
RADG:101159,RADG,101159,BCBS MCRASSIGN,MCRASSIGN,BCBS,InsurancePlan
GSIA:101168,GSIA,101168,UNITED HDHP,HDHP,UNITED,InsurancePlan
RADB:101172,RADB,101172,BCBS TPA,TPA,BCBS,InsurancePlan
RADG:101177,RADG,101177,MEDICAID TPA,TPA,MEDICAID,InsurancePlan
RADS2:101179,RADS2,101179,UNITED COMM,COMM,UNITED,InsurancePlan
RADL:101185,RADL,101185,MEDICARE POS,POS,MEDICARE,InsurancePlan
RADM:101192,RADM,101192,BCBS MCDASSIGN,MCDASSIGN,BCBS,InsurancePlan
RADA:101198,RADA,101198,BCBS HDHP,HDHP,BCBS,InsurancePlan
RADK:101205,RADK,101205,BCBS HMO,HMO,BCBS,InsurancePlan
RADZ:101213,RADZ,101213,UNITED MCDASSIGN,MCDASSIGN,UNITED,InsurancePlan
RADT:101219,RADT,101219,MOLINA MCDASSIGN,MCDASSIGN,MOLINA,InsurancePlan
RADN:101223,RADN,101223,COMMERCIAL MCDASSIGN,MCDASSIGN,COMMERCIAL,InsurancePlan
TRI:101229,TRI,101229,HUMANA TPA,TPA,HUMANA,InsurancePlan
RADS:101237,RADS,101237,CIGNA INDEMNITY,INDEMNITY,CIGNA,InsurancePlan
RADZ:101243,RADZ,101243,AETNA COMM,COMM,AETNA,InsurancePlan
RADO:101251,RADO,101251,AETNA INDEMNITY,INDEMNITY,AETNA,InsurancePlan
RASFA:101256,RASFA,101256,BCBS TPA,TPA,BCBS,InsurancePlan
RADQ:101260,RADQ,101260,BCBS MCRASSIGN,MCRASSIGN,BCBS,InsurancePlan
RADS2:101268,RADS2,101268,BCBS INDEMNITY,INDEMNITY,BCBS,InsurancePlan
NRAA:101270,NRAA,101270,CIGNA MCRASSIGN,MCRASSIGN,CIGNA,InsurancePlan
RADI:101274,RADI,101274,MAGELLAN PPO,PPO,MAGELLAN,InsurancePlan
GRH:101280,GRH,101280,COMMERCIAL HDHP,HDHP,COMMERCIAL,InsurancePlan
RADF:101282,RADF,101282,BCBS HDHP,HDHP,BCBS,InsurancePlan
RADI:101291,RADI,101291,HUMANA INDEMNITY,INDEMNITY,HUMANA,InsurancePlan
RADA:101293,RADA,101293,BCBS POS,POS,BCBS,InsurancePlan
RADB:101294,RADB,101294,UNITED HDHP,HDHP,UNITED,InsurancePlan
RADZ:101300,RADZ,101300,BCBS COMM,COMM,BCBS,InsurancePlan
GSIA:101307,GSIA,101307,CIGNA MCDASSIGN,MCDASSIGN,CIGNA,InsurancePlan
IAI:101309,IAI,101309,UNITED HDHP,HDHP,UNITED,InsurancePlan
RADE:101318,RADE,101318,CIGNA EPO,EPO,CIGNA,InsurancePlan
GRH:101321,GRH,101321,BCBS MCRASSIGN,MCRASSIGN,BCBS,InsurancePlan
PXP:101325,PXP,101325,UNITED HDHP,HDHP,UNITED,InsurancePlan
RADD:101330,RADD,101330,BCBS HDHP,HDHP,BCBS,InsurancePlan
RADY:101334,RADY,101334,BCBS HMO,HMO,BCBS,InsurancePlan
RADR:101338,RADR,101338,BCBS INDEMNITY,INDEMNITY,BCBS,InsurancePlan
RADC:101342,RADC,101342,UNITED EPO,EPO,UNITED,InsurancePlan
RADO:101343,RADO,101343,UNITED HDHP,HDHP,UNITED,InsurancePlan
RADL:101348,RADL,101348,UNITED INDEMNITY,INDEMNITY,UNITED,InsurancePlan
RADN:101357,RADN,101357,UNITED PPO,PPO,UNITED,InsurancePlan
RADK:101358,RADK,101358,CIGNA MCDASSIGN,MCDASSIGN,CIGNA,InsurancePlan
CRC:101362,CRC,101362,HUMANA HDHP,HDHP,HUMANA,InsurancePlan
RADH:101363,RADH,101363,MEDICARE TPA,TPA,MEDICARE,InsurancePlan
RADT:101371,RADT,101371,HUMANA POS,POS,HUMANA,InsurancePlan
ACR:101379,ACR,101379,AETNA POS,POS,AETNA,InsurancePlan
RADJ:101385,RADJ,101385,UNITED POS,POS,UNITED,InsurancePlan
GSIA:101393,GSIA,101393,BCBS MCRASSIGN,MCRASSIGN,BCBS,InsurancePlan
RADH:101398,RADH,101398,BCBS POS,POS,BCBS,InsurancePlan
RADD:101402,RADD,101402,MEDICAID EPO,EPO,MEDICAID,InsurancePlan
ESR:101411,ESR,101411,CENTENE HMO,HMO,CENTENE,InsurancePlan
RADD:101413,RADD,101413,MEDICAID HDHP,HDHP,MEDICAID,InsurancePlan
WRAD:101414,WRAD,101414,HUMANA MCRASSIGN,MCRASSIGN,HUMANA,InsurancePlan
RASFA:101420,RASFA,101420,UNITED PPO,PPO,UNITED,InsurancePlan
RADM:101425,RADM,101425,AETNA MCRASSIGN,MCRASSIGN,AETNA,InsurancePlan
RADS:101431,RADS,101431,BCBS INDEMNITY,INDEMNITY,BCBS,InsurancePlan
RADZ:101440,RADZ,101440,BCBS HDHP,HDHP,BCBS,InsurancePlan
GSIA:101449,GSIA,101449,BCBS EPO,EPO,BCBS,InsurancePlan
PXP:101454,PXP,101454,UNITED POS,POS,UNITED,InsurancePlan
ACRB:101459,ACRB,101459,AETNA POS,POS,AETNA,InsurancePlan
TRI:101462,TRI,101462,HUMANA POS,POS,HUMANA,InsurancePlan
RADB:101463,RADB,101463,CIGNA INDEMNITY,INDEMNITY,CIGNA,InsurancePlan
NRA:101472,NRA,101472,COMMERCIAL EPO,EPO,COMMERCIAL,InsurancePlan
RADQ:101473,RADQ,101473,UNITED MCRASSIGN,MCRASSIGN,UNITED,InsurancePlan
RADK:101482,RADK,101482,MEDICARE PPO,PPO,MEDICARE,InsurancePlan
ESR:101484,ESR,101484,UNITED TPA,TPA,UNITED,InsurancePlan
MRB:101486,MRB,101486,AETNA COMM,COMM,AETNA,InsurancePlan
TRI:101490,TRI,101490,HUMANA EPO,EPO,HUMANA,InsurancePlan
ESR:101495,ESR,101495,MAGELLAN EPO,EPO,MAGELLAN,InsurancePlan
RADS2:101500,RADS2,101500,BCBS POS,POS,BCBS,InsurancePlan
RADD:101504,RADD,101504,MEDICARE TPA,TPA,MEDICARE,InsurancePlan
SMED:101509,SMED,101509,MEDICARE PPO,PPO,MEDICARE,InsurancePlan
RADP:101511,RADP,101511,MEDICARE EPO,EPO,MEDICARE,InsurancePlan
RADE:101519,RADE,101519,COMMERCIAL HDHP,HDHP,COMMERCIAL,InsurancePlan
RADJ:101520,RADJ,101520,AETNA HMO,HMO,AETNA,InsurancePlan
CIRPA:101523,CIRPA,101523,AETNA COMM,COMM,AETNA,InsurancePlan
RADT:101528,RADT,101528,MEDICARE MCRASSIGN,MCRASSIGN,MEDICARE,InsurancePlan
SMED:101533,SMED,101533,AETNA PPO,PPO,AETNA,InsurancePlan
PXP:101540,PXP,101540,COMMERCIAL COMM,COMM,COMMERCIAL,InsurancePlan
SAPA:101543,SAPA,101543,UNITED MCDASSIGN,MCDASSIGN,UNITED,InsurancePlan
RASFA:101552,RASFA,101552,HUMANA MCRASSIGN,MCRASSIGN,HUMANA,InsurancePlan
RADG:101554,RADG,101554,BCBS HMO,HMO,BCBS,InsurancePlan
CRC:101561,CRC,101561,BRIGHT HEALTH POS,POS,BRIGHT HEALTH,InsurancePlan
RADS:101568,RADS,101568,CIGNA INDEMNITY,INDEMNITY,CIGNA,InsurancePlan
IAI:101575,IAI,101575,BCBS MCRASSIGN,MCRASSIGN,BCBS,InsurancePlan
GSIA:101582,GSIA,101582,BCBS PPO,PPO,BCBS,InsurancePlan
SMED:101587,SMED,101587,AETNA HMO,HMO,AETNA,InsurancePlan
ACRB:101596,ACRB,101596,CENTENE HMO,HMO,CENTENE,InsurancePlan
RADJ:101597,RADJ,101597,UNITED COMM,COMM,UNITED,InsurancePlan
GRH:101605,GRH,101605,OSCAR INDEMNITY,INDEMNITY,OSCAR,InsurancePlan
