:START_ID(RCCall),:END_ID(Campaign),:TYPE
593000000269,GSIA,PART_OF_CAMPAIGN
593000000270,GSIA,PART_OF_CAMPAIGN
593000000271,PMR,PART_OF_CAMPAIGN
593000000272,PXP,PART_OF_CAMPAIGN
593000000273,TRI,PART_OF_CAMPAIGN
593000000274,NRAA,PART_OF_CAMPAIGN
593000000275,ACRB,PART_OF_CAMPAIGN
593000000276,ACR,PART_OF_CAMPAIGN
593000000277,SAPA,PART_OF_CAMPAIGN
593000000278,PMR,PART_OF_CAMPAIGN
593000000279,CRC,PART_OF_CAMPAIGN
593000000280,ACR,PART_OF_CAMPAIGN
593000000281,IAI,PART_OF_CAMPAIGN
593000000282,IAI,PART_OF_CAMPAIGN
593000000283,ESR,PART_OF_CAMPAIGN
593000000284,RASFA,PART_OF_CAMPAIGN
593000000285,ACR,PART_OF_CAMPAIGN
593000000286,MRB,PART_OF_CAMPAIGN
593000000287,PMR,PART_OF_CAMPAIGN
593000000288,CRC,PART_OF_CAMPAIGN
593000000289,MRB,PART_OF_CAMPAIGN
593000000290,RASFA,PART_OF_CAMPAIGN
593000000291,ACRB,PART_OF_CAMPAIGN
593000000292,NRA,PART_OF_CAMPAIGN
593000000293,ACRB,PART_OF_CAMPAIGN
593000000294,PXP,PART_OF_CAMPAIGN
593000000295,PMR,PART_OF_CAMPAIGN
593000000296,MRB,PART_OF_CAMPAIGN
593000000297,GRH,PART_OF_CAMPAIGN
593000000298,IAI,PART_OF_CAMPAIGN
593000000299,GRH,PART_OF_CAMPAIGN
593000000300,NRA,PART_OF_CAMPAIGN
593000000301,TRI,PART_OF_CAMPAIGN
593000000302,NRAA,PART_OF_CAMPAIGN
593000000303,PMR,PART_OF_CAMPAIGN
593000000304,TRI,PART_OF_CAMPAIGN
593000000305,ESR,PART_OF_CAMPAIGN
593000000306,TRI,PART_OF_CAMPAIGN
593000000307,SMED,PART_OF_CAMPAIGN
593000000308,NRA,PART_OF_CAMPAIGN
593000000309,PXP,PART_OF_CAMPAIGN
593000000310,NRA,PART_OF_CAMPAIGN
593000000311,GSIA,PART_OF_CAMPAIGN
593000000312,NRA,PART_OF_CAMPAIGN
593000000313,PXP,PART_OF_CAMPAIGN
593000000314,ACR,PART_OF_CAMPAIGN
593000000315,CRC,PART_OF_CAMPAIGN
593000000316,GRH,PART_OF_CAMPAIGN
593000000317,PXP,PART_OF_CAMPAIGN
593000000318,SAPA,PART_OF_CAMPAIGN
593000000319,NRAA,PART_OF_CAMPAIGN
593000000320,TRI,PART_OF_CAMPAIGN
593000000321,GRH,PART_OF_CAMPAIGN
593000000322,ACR,PART_OF_CAMPAIGN
593000000323,SAPA,PART_OF_CAMPAIGN
593000000324,IAI,PART_OF_CAMPAIGN
593000000325,MRB,PART_OF_CAMPAIGN
593000000326,ACRB,PART_OF_CAMPAIGN
593000000327,ESR,PART_OF_CAMPAIGN
593000000328,ACRB,PART_OF_CAMPAIGN
593000000329,TRI,PART_OF_CAMPAIGN
593000000330,PMR,PART_OF_CAMPAIGN
593000000331,SAPA,PART_OF_CAMPAIGN
593000000332,PXP,PART_OF_CAMPAIGN
593000000333,GSIA,PART_OF_CAMPAIGN
593000000334,MRB,PART_OF_CAMPAIGN
593000000335,TRI,PART_OF_CAMPAIGN
593000000336,TRI,PART_OF_CAMPAIGN
593000000337,GRH,PART_OF_CAMPAIGN
593000000338,NRA,PART_OF_CAMPAIGN
593000000339,GSIA,PART_OF_CAMPAIGN
593000000340,SAPA,PART_OF_CAMPAIGN
593000000341,IAI,PART_OF_CAMPAIGN
593000000342,IAI,PART_OF_CAMPAIGN
593000000343,CRC,PART_OF_CAMPAIGN
593000000344,NRA,PART_OF_CAMPAIGN
593000000345,RASFA,PART_OF_CAMPAIGN
593000000346,CRC,PART_OF_CAMPAIGN
593000000347,PXP,PART_OF_CAMPAIGN
593000000348,NRAA,PART_OF_CAMPAIGN
593000000349,GSIA,PART_OF_CAMPAIGN
593000000350,GSIA,PART_OF_CAMPAIGN
593000000351,GRH,PART_OF_CAMPAIGN
593000000352,GSIA,PART_OF_CAMPAIGN
593000000353,TRI,PART_OF_CAMPAIGN
593000000354,GSIA,PART_OF_CAMPAIGN
593000000355,MRB,PART_OF_CAMPAIGN
593000000356,PXP,PART_OF_CAMPAIGN
593000000357,SAPA,PART_OF_CAMPAIGN
593000000358,IAI,PART_OF_CAMPAIGN
593000000359,SMED,PART_OF_CAMPAIGN
593000000360,NRAA,PART_OF_CAMPAIGN
593000000361,PXP,PART_OF_CAMPAIGN
593000000362,ESR,PART_OF_CAMPAIGN
593000000363,GRH,PART_OF_CAMPAIGN
593000000364,CRC,PART_OF_CAMPAIGN
593000000365,PXP,PART_OF_CAMPAIGN
593000000366,PXP,PART_OF_CAMPAIGN
593000000367,SMED,PART_OF_CAMPAIGN
593000000368,SAPA,PART_OF_CAMPAIGN
593000000369,MRB,PART_OF_CAMPAIGN
593000000370,SMED,PART_OF_CAMPAIGN
593000000371,CRC,PART_OF_CAMPAIGN
593000000372,ESR,PART_OF_CAMPAIGN
593000000373,NRA,PART_OF_CAMPAIGN
593000000374,RASFA,PART_OF_CAMPAIGN
593000000375,NRA,PART_OF_CAMPAIGN
593000000376,SMED,PART_OF_CAMPAIGN
593000000377,NRA,PART_OF_CAMPAIGN
593000000378,GSIA,PART_OF_CAMPAIGN
593000000379,GRH,PART_OF_CAMPAIGN
593000000380,GSIA,PART_OF_CAMPAIGN
593000000381,PMR,PART_OF_CAMPAIGN
593000000382,ACRB,PART_OF_CAMPAIGN
593000000383,NRAA,PART_OF_CAMPAIGN
593000000384,PXP,PART_OF_CAMPAIGN
593000000385,MRB,PART_OF_CAMPAIGN
593000000386,NRA,PART_OF_CAMPAIGN
593000000387,SMED,PART_OF_CAMPAIGN
593000000388,SMED,PART_OF_CAMPAIGN
593000000389,GRH,PART_OF_CAMPAIGN
593000000390,PMR,PART_OF_CAMPAIGN
593000000391,NRAA,PART_OF_CAMPAIGN
593000000392,ESR,PART_OF_CAMPAIGN
593000000393,MRB,PART_OF_CAMPAIGN
593000000394,GSIA,PART_OF_CAMPAIGN
593000000395,ESR,PART_OF_CAMPAIGN
593000000396,NRA,PART_OF_CAMPAIGN
593000000397,GRH,PART_OF_CAMPAIGN
593000000398,ESR,PART_OF_CAMPAIGN
593000000399,SAPA,PART_OF_CAMPAIGN
593000000400,GSIA,PART_OF_CAMPAIGN
593000000401,SMED,PART_OF_CAMPAIGN
593000000402,PMR,PART_OF_CAMPAIGN
593000000403,GSIA,PART_OF_CAMPAIGN
593000000404,GSIA,PART_OF_CAMPAIGN
593000000405,RASFA,PART_OF_CAMPAIGN
593000000406,TRI,PART_OF_CAMPAIGN
593000000407,GRH,PART_OF_CAMPAIGN
593000000408,ACR,PART_OF_CAMPAIGN
593000000409,PXP,PART_OF_CAMPAIGN
593000000410,MRB,PART_OF_CAMPAIGN
593000000411,RASFA,PART_OF_CAMPAIGN
593000000412,RASFA,PART_OF_CAMPAIGN
593000000413,NRA,PART_OF_CAMPAIGN
593000000414,IAI,PART_OF_CAMPAIGN
593000000415,ESR,PART_OF_CAMPAIGN
593000000416,RASFA,PART_OF_CAMPAIGN
593000000417,ACR,PART_OF_CAMPAIGN
593000000418,SAPA,PART_OF_CAMPAIGN
593000000419,RASFA,PART_OF_CAMPAIGN
593000000420,MRB,PART_OF_CAMPAIGN
593000000421,PXP,PART_OF_CAMPAIGN
593000000422,RASFA,PART_OF_CAMPAIGN
593000000423,ACR,PART_OF_CAMPAIGN
593000000424,PMR,PART_OF_CAMPAIGN
593000000425,ACRB,PART_OF_CAMPAIGN
593000000426,ACR,PART_OF_CAMPAIGN
593000000427,CRC,PART_OF_CAMPAIGN
593000000428,GRH,PART_OF_CAMPAIGN
593000000429,ACRB,PART_OF_CAMPAIGN
593000000430,ESR,PART_OF_CAMPAIGN
593000000431,ACRB,PART_OF_CAMPAIGN
593000000432,SMED,PART_OF_CAMPAIGN
593000000433,NRAA,PART_OF_CAMPAIGN
593000000434,ESR,PART_OF_CAMPAIGN
593000000435,NRA,PART_OF_CAMPAIGN
593000000436,ESR,PART_OF_CAMPAIGN
593000000437,SAPA,PART_OF_CAMPAIGN
593000000438,PXP,PART_OF_CAMPAIGN
593000000439,IAI,PART_OF_CAMPAIGN
593000000440,GRH,PART_OF_CAMPAIGN
593000000441,GSIA,PART_OF_CAMPAIGN
593000000442,PMR,PART_OF_CAMPAIGN
593000000443,PMR,PART_OF_CAMPAIGN
593000000444,ACRB,PART_OF_CAMPAIGN
593000000445,ACRB,PART_OF_CAMPAIGN
593000000446,GRH,PART_OF_CAMPAIGN
593000000447,NRAA,PART_OF_CAMPAIGN
593000000448,TRI,PART_OF_CAMPAIGN
593000000449,CRC,PART_OF_CAMPAIGN
593000000450,GSIA,PART_OF_CAMPAIGN
593000000451,NRAA,PART_OF_CAMPAIGN
593000000452,SMED,PART_OF_CAMPAIGN
593000000453,PXP,PART_OF_CAMPAIGN
593000000454,RASFA,PART_OF_CAMPAIGN
593000000455,IAI,PART_OF_CAMPAIGN
593000000456,PMR,PART_OF_CAMPAIGN
593000000457,PXP,PART_OF_CAMPAIGN
593000000458,ESR,PART_OF_CAMPAIGN
593000000459,SMED,PART_OF_CAMPAIGN
593000000460,NRAA,PART_OF_CAMPAIGN
593000000461,ACR,PART_OF_CAMPAIGN
593000000462,ACR,PART_OF_CAMPAIGN
593000000463,PXP,PART_OF_CAMPAIGN
593000000464,IAI,PART_OF_CAMPAIGN
593000000465,PMR,PART_OF_CAMPAIGN
593000000466,GSIA,PART_OF_CAMPAIGN
593000000467,MRB,PART_OF_CAMPAIGN
593000000468,PMR,PART_OF_CAMPAIGN
593000000469,NRA,PART_OF_CAMPAIGN
593000000470,PMR,PART_OF_CAMPAIGN
593000000471,ACRB,PART_OF_CAMPAIGN
593000000472,ESR,PART_OF_CAMPAIGN
593000000473,RASFA,PART_OF_CAMPAIGN
593000000474,CRC,PART_OF_CAMPAIGN
593000000475,GSIA,PART_OF_CAMPAIGN
593000000476,GSIA,PART_OF_CAMPAIGN
593000000477,IAI,PART_OF_CAMPAIGN
593000000478,PXP,PART_OF_CAMPAIGN
593000000479,MRB,PART_OF_CAMPAIGN
593000000480,GRH,PART_OF_CAMPAIGN
593000000481,ACRB,PART_OF_CAMPAIGN
593000000482,ACRB,PART_OF_CAMPAIGN
593000000483,TRI,PART_OF_CAMPAIGN
593000000484,GRH,PART_OF_CAMPAIGN
593000000485,GSIA,PART_OF_CAMPAIGN
593000000486,SMED,PART_OF_CAMPAIGN
593000000487,ESR,PART_OF_CAMPAIGN
593000000488,PXP,PART_OF_CAMPAIGN
593000000489,CRC,PART_OF_CAMPAIGN
593000000490,GSIA,PART_OF_CAMPAIGN
593000000491,MRB,PART_OF_CAMPAIGN
593000000492,ACR,PART_OF_CAMPAIGN
593000000493,NRA,PART_OF_CAMPAIGN
593000000494,GSIA,PART_OF_CAMPAIGN
593000000495,ACR,PART_OF_CAMPAIGN
593000000496,IAI,PART_OF_CAMPAIGN
593000000497,MRB,PART_OF_CAMPAIGN
593000000498,RASFA,PART_OF_CAMPAIGN
593000000499,CRC,PART_OF_CAMPAIGN
593000000500,ESR,PART_OF_CAMPAIGN
593000000501,GSIA,PART_OF_CAMPAIGN
593000000502,PXP,PART_OF_CAMPAIGN
593000000503,RASFA,PART_OF_CAMPAIGN
593000000504,RASFA,PART_OF_CAMPAIGN
593000000505,MRB,PART_OF_CAMPAIGN
593000000506,ESR,PART_OF_CAMPAIGN
593000000507,NRA,PART_OF_CAMPAIGN
593000000508,RASFA,PART_OF_CAMPAIGN
593000000509,SMED,PART_OF_CAMPAIGN
593000000510,ACR,PART_OF_CAMPAIGN
593000000511,GRH,PART_OF_CAMPAIGN
593000000512,RASFA,PART_OF_CAMPAIGN
593000000513,NRA,PART_OF_CAMPAIGN
593000000514,SMED,PART_OF_CAMPAIGN
593000000515,SMED,PART_OF_CAMPAIGN
593000000516,SMED,PART_OF_CAMPAIGN
593000000517,GSIA,PART_OF_CAMPAIGN
593000000518,TRI,PART_OF_CAMPAIGN
593000000519,ACRB,PART_OF_CAMPAIGN
593000000520,PMR,PART_OF_CAMPAIGN
593000000521,CRC,PART_OF_CAMPAIGN
593000000522,IAI,PART_OF_CAMPAIGN
593000000523,RASFA,PART_OF_CAMPAIGN
593000000524,GRH,PART_OF_CAMPAIGN
593000000525,ACRB,PART_OF_CAMPAIGN
593000000526,RASFA,PART_OF_CAMPAIGN
593000000527,SAPA,PART_OF_CAMPAIGN
593000000528,SMED,PART_OF_CAMPAIGN
593000000529,ESR,PART_OF_CAMPAIGN
593000000530,SAPA,PART_OF_CAMPAIGN
593000000531,GSIA,PART_OF_CAMPAIGN
593000000532,SMED,PART_OF_CAMPAIGN
593000000533,IAI,PART_OF_CAMPAIGN
593000000534,IAI,PART_OF_CAMPAIGN
593000000535,NRA,PART_OF_CAMPAIGN
593000000536,ACRB,PART_OF_CAMPAIGN
593000000537,SAPA,PART_OF_CAMPAIGN
593000000538,IAI,PART_OF_CAMPAIGN
593000000539,SAPA,PART_OF_CAMPAIGN
593000000540,PMR,PART_OF_CAMPAIGN
593000000541,RASFA,PART_OF_CAMPAIGN
593000000542,MRB,PART_OF_CAMPAIGN
593000000543,ACR,PART_OF_CAMPAIGN
593000000544,MRB,PART_OF_CAMPAIGN
593000000545,IAI,PART_OF_CAMPAIGN
593000000546,RASFA,PART_OF_CAMPAIGN
593000000547,SMED,PART_OF_CAMPAIGN
593000000548,ACRB,PART_OF_CAMPAIGN
593000000549,ACR,PART_OF_CAMPAIGN
593000000550,GRH,PART_OF_CAMPAIGN
593000000551,RASFA,PART_OF_CAMPAIGN
593000000552,SAPA,PART_OF_CAMPAIGN
593000000553,MRB,PART_OF_CAMPAIGN
593000000554,NRAA,PART_OF_CAMPAIGN
593000000555,CRC,PART_OF_CAMPAIGN
593000000556,CRC,PART_OF_CAMPAIGN
593000000557,ACRB,PART_OF_CAMPAIGN
593000000558,MRB,PART_OF_CAMPAIGN
593000000559,NRA,PART_OF_CAMPAIGN
593000000560,GRH,PART_OF_CAMPAIGN
593000000561,NRAA,PART_OF_CAMPAIGN
593000000562,NRAA,PART_OF_CAMPAIGN
593000000563,ACR,PART_OF_CAMPAIGN
593000000564,NRAA,PART_OF_CAMPAIGN
593000000565,GSIA,PART_OF_CAMPAIGN
593000000566,NRA,PART_OF_CAMPAIGN
593000000567,PXP,PART_OF_CAMPAIGN
593000000568,GSIA,PART_OF_CAMPAIGN
593000000569,ACRB,PART_OF_CAMPAIGN
593000000570,PMR,PART_OF_CAMPAIGN
593000000571,GSIA,PART_OF_CAMPAIGN
593000000572,ESR,PART_OF_CAMPAIGN
